path,connections,rps_mean,rps_std,p99_ms_mean,p99_ms_std
direct-nginx,1,7219.792000,136.854303,0.187000,0.051587
direct-nginx,2,14903.528000,172.861620,0.158200,0.003487
direct-nginx,4,45595.330000,2080.933588,0.127600,0.006086
direct-nginx,8,107348.850000,1119.375909,0.114200,0.001166
direct-nginx,16,170691.744000,201.788813,0.147800,0.000400
direct-nginx,32,224270.572000,400.794176,0.221000,0.000632
direct-nginx,64,251905.496000,152.724533,0.378400,0.000800
direct-nginx,128,272732.578000,437.135609,0.715800,0.004167
direct-nginx,256,280509.022000,287.301088,1.150000,0.000000
vanilla-katran,1,7167.718000,188.704348,0.157200,0.003311
vanilla-katran,2,15275.424000,1022.207556,0.154800,0.002482
vanilla-katran,4,42451.548000,1243.179334,0.135600,0.002800
vanilla-katran,8,104632.252000,80.159441,0.116400,0.000800
vanilla-katran,16,168413.878000,266.501454,0.152200,0.000748
vanilla-katran,32,221795.840000,644.305612,0.226800,0.001166
vanilla-katran,64,247384.476000,232.666390,0.392000,0.000000
vanilla-katran,128,265485.102000,126.579663,0.743800,0.002135
vanilla-katran,256,274525.668000,361.244405,1.210000,0.006325
