timestamp,connections,repeat,requests_per_sec,latency_avg_ms,latency_stdev_ms,p99_ms,non2xx_responses,socket_timeouts,vm1_cpu_util_pct,vm2_cpu_util_pct
2026-02-23T21:18:18Z,1,1,7043.48,0.141200,0.011410,0.162000,0,0,2.264565,1.615557
2026-02-23T21:19:33Z,1,2,6973.23,0.142620,0.008500,0.159000,0,0,2.284821,1.751579
2026-02-23T21:20:49Z,1,3,7215.57,0.137820,0.008340,0.156000,0,0,2.151175,2.189720
2026-02-23T21:22:04Z,1,4,7096.02,0.140290,0.018010,0.157000,0,0,2.239878,1.741105
2026-02-23T21:23:20Z,1,5,7510.29,0.132410,0.010510,0.152000,0,0,2.045927,2.263349
2026-02-23T21:24:35Z,2,1,15444.67,0.128650,0.013360,0.155000,0,0,5.067297,3.537086
2026-02-23T21:25:50Z,2,2,17180.89,0.115600,0.014050,0.150000,0,0,4.981722,3.450764
2026-02-23T21:27:06Z,2,3,14848.41,0.133840,0.010500,0.156000,0,0,3.757250,4.317391
2026-02-23T21:28:21Z,2,4,14339.10,0.139140,0.052880,0.157000,0,0,4.875169,4.040701
2026-02-23T21:29:37Z,2,5,14564.05,0.136460,0.009170,0.156000,0,0,3.451668,3.900307
2026-02-23T21:30:52Z,4,1,40971.27,0.096850,0.010730,0.134000,0,0,10.886054,6.890705
2026-02-23T21:32:07Z,4,2,42802.87,0.092690,0.010440,0.137000,0,0,11.455816,7.042807
2026-02-23T21:33:23Z,4,3,44571.44,0.088970,0.009890,0.131000,0,0,12.831782,6.947128
2026-02-23T21:34:38Z,4,4,41493.53,0.095650,0.010540,0.139000,0,0,10.884119,6.863173
2026-02-23T21:35:54Z,4,5,42418.63,0.093540,0.011090,0.137000,0,0,11.417459,6.867628
2026-02-23T21:37:09Z,8,1,104784.55,0.074970,0.012220,0.115000,0,0,32.578055,16.650739
2026-02-23T21:38:24Z,8,2,104570.20,0.075220,0.016060,0.117000,0,0,32.701211,16.813797
2026-02-23T21:39:40Z,8,3,104612.73,0.075100,0.012390,0.116000,0,0,32.760377,16.211885
2026-02-23T21:40:55Z,8,4,104563.72,0.075160,0.012720,0.117000,0,0,32.783249,16.537550
2026-02-23T21:42:10Z,8,5,104630.06,0.075100,0.012740,0.117000,0,0,32.706583,16.640881
2026-02-23T21:43:26Z,16,1,168778.17,0.092890,0.020510,0.152000,0,0,46.590354,25.294251
2026-02-23T21:44:41Z,16,2,168202.14,0.093240,0.021590,0.153000,0,0,46.772979,25.467078
2026-02-23T21:45:57Z,16,3,168637.82,0.092960,0.020330,0.151000,0,0,46.858511,26.002348
2026-02-23T21:47:12Z,16,4,168393.78,0.093110,0.020580,0.153000,0,0,46.662831,25.501109
2026-02-23T21:48:27Z,16,5,168057.48,0.093290,0.020500,0.152000,0,0,46.321405,25.579605
2026-02-23T21:49:43Z,32,1,222237.72,0.141050,0.030560,0.226000,0,0,54.714809,30.331108
2026-02-23T21:50:58Z,32,2,222219.26,0.141080,0.030800,0.226000,0,0,54.744370,30.253059
2026-02-23T21:52:13Z,32,3,222319.97,0.140930,0.030680,0.226000,0,0,55.038100,30.312075
2026-02-23T21:53:29Z,32,4,221581.30,0.141460,0.030640,0.227000,0,0,54.740022,30.161525
2026-02-23T21:54:44Z,32,5,220620.95,0.142040,0.030790,0.229000,0,0,54.627404,29.786207
2026-02-23T21:55:59Z,64,1,247488.13,0.254070,0.051570,0.392000,0,0,56.386527,30.557485
2026-02-23T21:57:15Z,64,2,247700.62,0.253900,0.052780,0.392000,0,0,56.061304,30.655098
2026-02-23T21:58:30Z,64,3,247165.50,0.254240,0.052850,0.392000,0,0,55.899613,30.397259
2026-02-23T21:59:45Z,64,4,247498.38,0.254070,0.052280,0.392000,0,0,56.067313,30.552790
2026-02-23T22:01:01Z,64,5,247069.75,0.254420,0.052370,0.392000,0,0,55.419376,30.613218
2026-02-23T22:02:16Z,128,1,265614.48,0.474590,0.091600,0.742000,0,0,61.190096,32.039417
2026-02-23T22:03:31Z,128,2,265639.51,0.474550,0.092920,0.744000,0,0,61.295473,32.233698
2026-02-23T22:04:47Z,128,3,265298.60,0.476010,0.089890,0.741000,0,0,61.736765,31.741022
2026-02-23T22:06:02Z,128,4,265439.33,0.475620,0.093960,0.747000,0,0,61.503141,31.836682
2026-02-23T22:07:17Z,128,5,265433.59,0.475770,0.092760,0.745000,0,0,61.520827,31.730030
2026-02-23T22:08:33Z,256,1,274152.91,0.920000,0.123620,1.210000,0,0,66.074369,33.881255
2026-02-23T22:09:48Z,256,2,274137.93,0.920000,0.126420,1.220000,0,0,66.380804,33.816859
2026-02-23T22:11:03Z,256,3,274621.44,0.920000,0.120840,1.210000,0,0,66.087260,34.039081
2026-02-23T22:12:18Z,256,4,275116.00,0.920000,0.121250,1.210000,0,0,66.390384,34.043555
2026-02-23T22:13:33Z,256,5,274600.06,0.920000,0.122110,1.200000,0,0,66.440223,33.505971
