path,target_rate,rps_mean,rps_std,p99_ms_mean,p99_ms_std
direct-nginx,50000,49266.554000,87.950627,3.512000,0.318145
direct-nginx,100000,99382.472000,223.578541,3.026000,0.143471
direct-nginx,150000,149285.166000,421.690215,2.758000,0.007483
direct-nginx,200000,198763.838000,445.089277,2.872000,0.004000
direct-nginx,250000,248628.124000,664.036870,3.012000,0.081584
direct-nginx,300000,277876.048000,898.478406,4364.000000,95.414884
direct-nginx,350000,278282.008000,611.961568,11986.000000,22.449944
direct-nginx,400000,278268.188000,613.858640,17934.000000,145.272158
direct-nginx,450000,279155.960000,339.674433,22434.000000,53.141321
direct-nginx,500000,277915.476000,396.011138,26170.000000,136.967149
vanilla-katran,50000,49515.202000,250.582508,3.334000,0.473565
vanilla-katran,100000,99171.370000,172.199748,3.130000,0.069857
vanilla-katran,150000,148967.126000,520.972046,2.796000,0.020591
vanilla-katran,200000,198764.860000,774.919924,2.926000,0.040792
vanilla-katran,250000,248454.258000,788.822977,9.068000,6.734889
vanilla-katran,300000,271796.454000,386.187222,5568.000000,91.956511
vanilla-katran,350000,272043.466000,1086.681272,13036.000000,141.788575
vanilla-katran,400000,272948.270000,644.014445,18774.000000,138.361844
vanilla-katran,450000,273507.882000,455.930733,22966.000000,122.245654
vanilla-katran,500000,273368.084000,69.457533,26636.000000,14.966630
