target_rate,repeats,rps_mean,p99_ms_mean,vm1_cpu_util_pct_mean,vm2_cpu_util_pct_mean
50000,5,49266.554000,3.512000,39.469852,30.616143
100000,5,99382.472000,3.026000,49.568921,38.933042
150000,5,149285.166000,2.758000,42.970816,45.098339
200000,5,198763.838000,2.872000,48.621654,51.159005
250000,5,248628.124000,3.012000,58.345240,44.209277
300000,5,277876.048000,4364.000000,66.444516,34.803520
350000,5,278282.008000,11986.000000,66.560880,34.935977
400000,5,278268.188000,17934.000000,66.602145,34.789425
450000,5,279155.960000,22434.000000,66.802981,34.995691
500000,5,277915.476000,26170.000000,66.460524,34.862104
