target_rate,repeats,rps_mean,p99_ms_mean,vm1_cpu_util_pct_mean,vm2_cpu_util_pct_mean
50000,5,49515.202000,3.334000,42.112149,28.532124
100000,5,99171.370000,3.130000,48.342438,42.259409
150000,5,148967.126000,2.796000,44.131378,45.319528
200000,5,198764.860000,2.926000,49.311488,51.356028
250000,5,248454.258000,9.068000,59.123474,43.408454
300000,5,271796.454000,5568.000000,66.239254,33.937304
350000,5,272043.466000,13036.000000,66.218694,33.963280
400000,5,272948.270000,18774.000000,66.416324,34.066822
450000,5,273507.882000,22966.000000,66.471951,34.121258
500000,5,273368.084000,26636.000000,66.384767,34.068937
