path,connections,rps_mean,rps_std,p99_ms_mean,p99_ms_std
direct-nginx,1,7266.996000,198.866256,0.154000,0.001095
direct-nginx,2,14796.758000,244.352737,0.153600,0.002800
direct-nginx,4,44283.250000,1206.376700,0.130400,0.006119
direct-nginx,8,107204.842000,1666.292559,0.113600,0.002059
direct-nginx,16,170371.926000,302.600499,0.148600,0.000490
direct-nginx,32,224080.808000,346.590835,0.221000,0.000632
direct-nginx,64,252213.712000,299.383667,0.376800,0.000980
direct-nginx,128,273288.804000,472.373755,0.708600,0.004964
direct-nginx,256,280382.862000,209.148576,1.146000,0.004899
vanilla-katran,1,7188.836000,220.565683,0.163200,0.004261
vanilla-katran,2,15481.624000,755.382610,0.156600,0.007940
vanilla-katran,4,42265.138000,789.017134,0.134000,0.002000
vanilla-katran,8,104493.700000,209.860200,0.116800,0.001470
vanilla-katran,16,167996.622000,351.754686,0.152800,0.000400
vanilla-katran,32,222399.356000,187.707520,0.224600,0.000800
vanilla-katran,64,249242.428000,166.355862,0.387800,0.001166
vanilla-katran,128,268429.888000,228.748232,0.728200,0.002482
vanilla-katran,256,277671.660000,940.868148,1.196000,0.018547
