path,offered_rate,request_rate_mean,request_rate_std,response_time_ms_mean,response_time_ms_std
direct-nginx,10000,10009.300000,0.000000,0.300000,0.000000
direct-nginx,20000,19971.100000,0.000000,0.400000,0.000000
direct-nginx,40000,39856.600000,0.000000,0.400000,0.000000
direct-nginx,80000,51010.200000,0.000000,6.700000,0.000000
direct-nginx,120000,4881.200000,0.000000,6.300000,0.000000
direct-nginx,160000,49350.800000,0.000000,8.200000,0.000000
vanilla-katran,10000,10009.300000,0.000000,0.300000,0.000000
vanilla-katran,20000,19970.800000,0.000000,0.300000,0.000000
vanilla-katran,40000,39923.900000,0.000000,0.500000,0.000000
vanilla-katran,80000,49195.100000,0.000000,6.600000,0.000000
vanilla-katran,120000,50797.900000,0.000000,8.100000,0.000000
vanilla-katran,160000,50401.300000,0.000000,6.200000,0.000000
