path,target_rate,rps_mean,rps_std,p99_ms_mean,p99_ms_std
direct-nginx,5000,4862.650000,0.000000,0.000000,0.000000
direct-nginx,10000,9822.110000,0.000000,0.000000,0.000000
direct-nginx,20000,19418.150000,0.000000,0.000000,0.000000
direct-nginx,40000,39685.390000,0.000000,0.000000,0.000000
direct-nginx,80000,78522.620000,0.000000,0.000000,0.000000
direct-nginx,120000,115240.500000,0.000000,0.000000,0.000000
direct-nginx,160000,157042.330000,0.000000,0.000000,0.000000
direct-nginx,200000,194189.370000,0.000000,0.000000,0.000000
vanilla-katran,5000,4862.190000,0.000000,0.000000,0.000000
vanilla-katran,10000,9717.960000,0.000000,0.000000,0.000000
vanilla-katran,20000,19636.590000,0.000000,0.000000,0.000000
vanilla-katran,40000,38842.030000,0.000000,0.000000,0.000000
vanilla-katran,80000,78520.210000,0.000000,0.000000,0.000000
vanilla-katran,120000,119043.450000,0.000000,0.000000,0.000000
vanilla-katran,160000,157038.120000,0.000000,0.000000,0.000000
vanilla-katran,200000,196296.530000,0.000000,0.000000,0.000000
