mode,rate_pps,repeat,status,measured_pps,run_dir,log_file
baseline-no-katran,50000,1,ok,50000,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T233444Z-katran-suite-baseline-no-katran-50000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-50000-r1.log
baseline-no-katran,50000,2,ok,50000,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T233520Z-katran-suite-baseline-no-katran-50000-r2,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-50000-r2.log
baseline-no-katran,50000,3,ok,50000,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T233556Z-katran-suite-baseline-no-katran-50000-r3,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-50000-r3.log
baseline-no-katran,100000,1,ok,100000,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T233632Z-katran-suite-baseline-no-katran-100000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-100000-r1.log
baseline-no-katran,100000,2,ok,100000,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T233709Z-katran-suite-baseline-no-katran-100000-r2,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-100000-r2.log
baseline-no-katran,100000,3,ok,100000,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T233746Z-katran-suite-baseline-no-katran-100000-r3,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-100000-r3.log
baseline-no-katran,150000,1,ok,150015,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T233822Z-katran-suite-baseline-no-katran-150000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-150000-r1.log
baseline-no-katran,150000,2,ok,150015,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T233859Z-katran-suite-baseline-no-katran-150000-r2,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-150000-r2.log
baseline-no-katran,150000,3,ok,150015,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T233934Z-katran-suite-baseline-no-katran-150000-r3,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-150000-r3.log
baseline-no-katran,200000,1,ok,199999,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T234011Z-katran-suite-baseline-no-katran-200000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-200000-r1.log
baseline-no-katran,200000,2,ok,199999,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T234047Z-katran-suite-baseline-no-katran-200000-r2,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-200000-r2.log
baseline-no-katran,200000,3,ok,200000,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T234123Z-katran-suite-baseline-no-katran-200000-r3,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-200000-r3.log
baseline-no-katran,250000,1,ok,250000,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T234200Z-katran-suite-baseline-no-katran-250000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-250000-r1.log
baseline-no-katran,250000,2,ok,250000,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T234237Z-katran-suite-baseline-no-katran-250000-r2,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-250000-r2.log
baseline-no-katran,250000,3,ok,250000,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T234313Z-katran-suite-baseline-no-katran-250000-r3,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-250000-r3.log
baseline-no-katran,300000,1,ok,300030,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T234349Z-katran-suite-baseline-no-katran-300000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-300000-r1.log
baseline-no-katran,300000,2,ok,300030,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T234426Z-katran-suite-baseline-no-katran-300000-r2,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-300000-r2.log
baseline-no-katran,300000,3,ok,300029,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T234502Z-katran-suite-baseline-no-katran-300000-r3,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-300000-r3.log
baseline-no-katran,350000,1,ok,350017,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T234538Z-katran-suite-baseline-no-katran-350000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-350000-r1.log
baseline-no-katran,350000,2,ok,350017,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T234614Z-katran-suite-baseline-no-katran-350000-r2,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-350000-r2.log
baseline-no-katran,350000,3,ok,350017,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T234651Z-katran-suite-baseline-no-katran-350000-r3,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-350000-r3.log
baseline-no-katran,400000,1,ok,399999,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T234728Z-katran-suite-baseline-no-katran-400000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-400000-r1.log
baseline-no-katran,400000,2,ok,399999,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T234805Z-katran-suite-baseline-no-katran-400000-r2,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-400000-r2.log
baseline-no-katran,400000,3,ok,399999,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T234842Z-katran-suite-baseline-no-katran-400000-r3,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-400000-r3.log
baseline-no-katran,450000,1,ok,450044,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T234918Z-katran-suite-baseline-no-katran-450000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-450000-r1.log
baseline-no-katran,450000,2,ok,450044,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T234955Z-katran-suite-baseline-no-katran-450000-r2,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-450000-r2.log
baseline-no-katran,450000,3,ok,450044,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T235032Z-katran-suite-baseline-no-katran-450000-r3,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-450000-r3.log
baseline-no-katran,500000,1,ok,499999,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T235109Z-katran-suite-baseline-no-katran-500000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-500000-r1.log
baseline-no-katran,500000,2,ok,499999,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T235146Z-katran-suite-baseline-no-katran-500000-r2,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-500000-r2.log
baseline-no-katran,500000,3,ok,499999,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T235223Z-katran-suite-baseline-no-katran-500000-r3,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-500000-r3.log
baseline-no-katran,550000,1,ok,548388,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T235300Z-katran-suite-baseline-no-katran-550000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-550000-r1.log
baseline-no-katran,550000,2,ok,550052,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T235337Z-katran-suite-baseline-no-katran-550000-r2,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-550000-r2.log
baseline-no-katran,550000,3,ok,550052,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T235414Z-katran-suite-baseline-no-katran-550000-r3,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-550000-r3.log
baseline-no-katran,600000,1,ok,558830,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T235451Z-katran-suite-baseline-no-katran-600000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-600000-r1.log
baseline-no-katran,600000,2,ok,562168,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T235530Z-katran-suite-baseline-no-katran-600000-r2,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-600000-r2.log
baseline-no-katran,600000,3,ok,558793,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T235609Z-katran-suite-baseline-no-katran-600000-r3,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-600000-r3.log
baseline-no-katran,650000,1,ok,567790,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T235648Z-katran-suite-baseline-no-katran-650000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-650000-r1.log
baseline-no-katran,650000,2,ok,543987,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T235729Z-katran-suite-baseline-no-katran-650000-r2,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-650000-r2.log
baseline-no-katran,650000,3,ok,560018,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T235811Z-katran-suite-baseline-no-katran-650000-r3,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-650000-r3.log
baseline-no-katran,700000,1,ok,561719,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T235852Z-katran-suite-baseline-no-katran-700000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-700000-r1.log
baseline-no-katran,700000,2,ok,557079,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260219T235936Z-katran-suite-baseline-no-katran-700000-r2,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-700000-r2.log
