name,signature,return_type,parameters,flags,kfunc_set,program_types,source_file
__bpf_trap,void __bpf_trap(void),void,,,common_btf_ids,,kernel/bpf/helpers.c
bbr_cwnd_event,"void bbr_cwnd_event(struct sock * sk, tcp_ca_event event)",void,"struct sock * sk, tcp_ca_event event",,tcp_bbr_check_kfunc_ids,,net/ipv4/tcp_bbr.c
bbr_init,void bbr_init(struct sock * sk),void,struct sock * sk,,tcp_bbr_check_kfunc_ids,,net/ipv4/tcp_bbr.c
bbr_main,"void bbr_main(struct sock * sk, u32 ack, int flag, const struct rate_sample * rs)",void,"struct sock * sk, u32 ack, int flag, const struct rate_sample * rs",,tcp_bbr_check_kfunc_ids,,net/ipv4/tcp_bbr.c
bbr_min_tso_segs,u32 bbr_min_tso_segs(struct sock * sk),u32,struct sock * sk,,tcp_bbr_check_kfunc_ids,,net/ipv4/tcp_bbr.c
bbr_set_state,"void bbr_set_state(struct sock * sk, u8 new_state)",void,"struct sock * sk, u8 new_state",,tcp_bbr_check_kfunc_ids,,net/ipv4/tcp_bbr.c
bbr_sndbuf_expand,u32 bbr_sndbuf_expand(struct sock * sk),u32,struct sock * sk,,tcp_bbr_check_kfunc_ids,,net/ipv4/tcp_bbr.c
bbr_ssthresh,u32 bbr_ssthresh(struct sock * sk),u32,struct sock * sk,,tcp_bbr_check_kfunc_ids,,net/ipv4/tcp_bbr.c
bbr_undo_cwnd,u32 bbr_undo_cwnd(struct sock * sk),u32,struct sock * sk,,tcp_bbr_check_kfunc_ids,,net/ipv4/tcp_bbr.c
bpf_arena_alloc_pages,"void *bpf_arena_alloc_pages(void * p__map, void * addr__ign, u32 page_cnt, int node_id, u64 flags)",void *,"void * p__map, void * addr__ign, u32 page_cnt, int node_id, u64 flags",KF_TRUSTED_ARGS|KF_SLEEPABLE|KF_ARENA_RET|KF_ARENA_ARG2,arena_kfuncs,,
bpf_arena_free_pages,"void bpf_arena_free_pages(void * p__map, void * ptr__ign, u32 page_cnt)",void,"void * p__map, void * ptr__ign, u32 page_cnt",KF_TRUSTED_ARGS|KF_SLEEPABLE|KF_ARENA_ARG2,arena_kfuncs,,kernel/bpf/arena.c
bpf_arena_reserve_pages,"int bpf_arena_reserve_pages(void * p__map, void * ptr__ign, u32 page_cnt)",int,"void * p__map, void * ptr__ign, u32 page_cnt",KF_TRUSTED_ARGS|KF_SLEEPABLE|KF_ARENA_ARG2,arena_kfuncs,,kernel/bpf/arena.c
bpf_cast_to_kern_ctx,void *bpf_cast_to_kern_ctx(void * obj),void *,void * obj,KF_FASTCALL,common_btf_ids,,
bpf_cgroup_acquire,struct cgroup *bpf_cgroup_acquire(struct cgroup * cgrp),struct cgroup *,struct cgroup * cgrp,KF_ACQUIRE|KF_RCU|KF_RET_NULL,generic_btf_ids,,
bpf_cgroup_ancestor,"struct cgroup *bpf_cgroup_ancestor(struct cgroup * cgrp, int level)",struct cgroup *,"struct cgroup * cgrp, int level",KF_ACQUIRE|KF_RCU|KF_RET_NULL,generic_btf_ids,,
bpf_cgroup_from_id,struct cgroup *bpf_cgroup_from_id(u64 cgid),struct cgroup *,u64 cgid,KF_ACQUIRE|KF_RET_NULL,generic_btf_ids,,
bpf_cgroup_read_xattr,"int bpf_cgroup_read_xattr(struct cgroup * cgroup, const char * name__str, struct bpf_dynptr * value_p)",int,"struct cgroup * cgroup, const char * name__str, struct bpf_dynptr * value_p",KF_RCU,common_btf_ids,,fs/bpf_fs_kfuncs.c
bpf_cgroup_release,void bpf_cgroup_release(struct cgroup * cgrp),void,struct cgroup * cgrp,KF_RELEASE,generic_btf_ids,,kernel/bpf/helpers.c
bpf_cgroup_release_dtor,,,,,,,kernel/bpf/helpers.c
bpf_copy_from_user_dynptr,"int bpf_copy_from_user_dynptr(struct bpf_dynptr * dptr, u32 off, u32 size, const void * unsafe_ptr__ign)",int,"struct bpf_dynptr * dptr, u32 off, u32 size, const void * unsafe_ptr__ign",KF_SLEEPABLE,common_btf_ids,,kernel/trace/bpf_trace.c
bpf_copy_from_user_str,"int bpf_copy_from_user_str(void * dst, u32 dst__sz, const void * unsafe_ptr__ign, u64 flags)",int,"void * dst, u32 dst__sz, const void * unsafe_ptr__ign, u64 flags",KF_SLEEPABLE,common_btf_ids,,kernel/bpf/helpers.c
bpf_copy_from_user_str_dynptr,"int bpf_copy_from_user_str_dynptr(struct bpf_dynptr * dptr, u32 off, u32 size, const void * unsafe_ptr__ign)",int,"struct bpf_dynptr * dptr, u32 off, u32 size, const void * unsafe_ptr__ign",KF_SLEEPABLE,common_btf_ids,,kernel/trace/bpf_trace.c
bpf_copy_from_user_task_dynptr,"int bpf_copy_from_user_task_dynptr(struct bpf_dynptr * dptr, u32 off, u32 size, const void * unsafe_ptr__ign, struct task_struct * tsk)",int,"struct bpf_dynptr * dptr, u32 off, u32 size, const void * unsafe_ptr__ign, struct task_struct * tsk",KF_SLEEPABLE|KF_TRUSTED_ARGS,common_btf_ids,,kernel/trace/bpf_trace.c
bpf_copy_from_user_task_str,"int bpf_copy_from_user_task_str(void * dst, u32 dst__sz, const void * unsafe_ptr__ign, struct task_struct * tsk, u64 flags)",int,"void * dst, u32 dst__sz, const void * unsafe_ptr__ign, struct task_struct * tsk, u64 flags",KF_SLEEPABLE,common_btf_ids,,kernel/bpf/helpers.c
bpf_copy_from_user_task_str_dynptr,"int bpf_copy_from_user_task_str_dynptr(struct bpf_dynptr * dptr, u32 off, u32 size, const void * unsafe_ptr__ign, struct task_struct * tsk)",int,"struct bpf_dynptr * dptr, u32 off, u32 size, const void * unsafe_ptr__ign, struct task_struct * tsk",KF_SLEEPABLE|KF_TRUSTED_ARGS,common_btf_ids,,kernel/trace/bpf_trace.c
bpf_cpumask_acquire,struct bpf_cpumask *bpf_cpumask_acquire(struct bpf_cpumask * cpumask),struct bpf_cpumask *,struct bpf_cpumask * cpumask,KF_ACQUIRE|KF_TRUSTED_ARGS,cpumask_kfunc_btf_ids,,
bpf_cpumask_and,"bool bpf_cpumask_and(struct bpf_cpumask * dst, const struct cpumask * src1, const struct cpumask * src2)",bool,"struct bpf_cpumask * dst, const struct cpumask * src1, const struct cpumask * src2",KF_RCU,cpumask_kfunc_btf_ids,,kernel/bpf/cpumask.c
bpf_cpumask_any_and_distribute,"u32 bpf_cpumask_any_and_distribute(const struct cpumask * src1, const struct cpumask * src2)",u32,"const struct cpumask * src1, const struct cpumask * src2",KF_RCU,cpumask_kfunc_btf_ids,,kernel/bpf/cpumask.c
bpf_cpumask_any_distribute,u32 bpf_cpumask_any_distribute(const struct cpumask * cpumask),u32,const struct cpumask * cpumask,KF_RCU,cpumask_kfunc_btf_ids,,kernel/bpf/cpumask.c
bpf_cpumask_clear,void bpf_cpumask_clear(struct bpf_cpumask * cpumask),void,struct bpf_cpumask * cpumask,KF_RCU,cpumask_kfunc_btf_ids,,kernel/bpf/cpumask.c
bpf_cpumask_clear_cpu,"void bpf_cpumask_clear_cpu(u32 cpu, struct bpf_cpumask * cpumask)",void,"u32 cpu, struct bpf_cpumask * cpumask",KF_RCU,cpumask_kfunc_btf_ids,,kernel/bpf/cpumask.c
bpf_cpumask_copy,"void bpf_cpumask_copy(struct bpf_cpumask * dst, const struct cpumask * src)",void,"struct bpf_cpumask * dst, const struct cpumask * src",KF_RCU,cpumask_kfunc_btf_ids,,kernel/bpf/cpumask.c
bpf_cpumask_create,struct bpf_cpumask *bpf_cpumask_create(void),struct bpf_cpumask *,,KF_ACQUIRE|KF_RET_NULL,cpumask_kfunc_btf_ids,,
bpf_cpumask_empty,bool bpf_cpumask_empty(const struct cpumask * cpumask),bool,const struct cpumask * cpumask,KF_RCU,cpumask_kfunc_btf_ids,,kernel/bpf/cpumask.c
bpf_cpumask_equal,"bool bpf_cpumask_equal(const struct cpumask * src1, const struct cpumask * src2)",bool,"const struct cpumask * src1, const struct cpumask * src2",KF_RCU,cpumask_kfunc_btf_ids,,kernel/bpf/cpumask.c
bpf_cpumask_first,u32 bpf_cpumask_first(const struct cpumask * cpumask),u32,const struct cpumask * cpumask,KF_RCU,cpumask_kfunc_btf_ids,,kernel/bpf/cpumask.c
bpf_cpumask_first_and,"u32 bpf_cpumask_first_and(const struct cpumask * src1, const struct cpumask * src2)",u32,"const struct cpumask * src1, const struct cpumask * src2",KF_RCU,cpumask_kfunc_btf_ids,,kernel/bpf/cpumask.c
bpf_cpumask_first_zero,u32 bpf_cpumask_first_zero(const struct cpumask * cpumask),u32,const struct cpumask * cpumask,KF_RCU,cpumask_kfunc_btf_ids,,kernel/bpf/cpumask.c
bpf_cpumask_full,bool bpf_cpumask_full(const struct cpumask * cpumask),bool,const struct cpumask * cpumask,KF_RCU,cpumask_kfunc_btf_ids,,kernel/bpf/cpumask.c
bpf_cpumask_intersects,"bool bpf_cpumask_intersects(const struct cpumask * src1, const struct cpumask * src2)",bool,"const struct cpumask * src1, const struct cpumask * src2",KF_RCU,cpumask_kfunc_btf_ids,,kernel/bpf/cpumask.c
bpf_cpumask_or,"void bpf_cpumask_or(struct bpf_cpumask * dst, const struct cpumask * src1, const struct cpumask * src2)",void,"struct bpf_cpumask * dst, const struct cpumask * src1, const struct cpumask * src2",KF_RCU,cpumask_kfunc_btf_ids,,kernel/bpf/cpumask.c
bpf_cpumask_populate,"int bpf_cpumask_populate(struct cpumask * cpumask, void * src, size_t src__sz)",int,"struct cpumask * cpumask, void * src, size_t src__sz",KF_RCU,cpumask_kfunc_btf_ids,,kernel/bpf/cpumask.c
bpf_cpumask_release,void bpf_cpumask_release(struct bpf_cpumask * cpumask),void,struct bpf_cpumask * cpumask,KF_RELEASE,cpumask_kfunc_btf_ids,,kernel/bpf/cpumask.c
bpf_cpumask_release_dtor,,,,,,,kernel/bpf/cpumask.c
bpf_cpumask_set_cpu,"void bpf_cpumask_set_cpu(u32 cpu, struct bpf_cpumask * cpumask)",void,"u32 cpu, struct bpf_cpumask * cpumask",KF_RCU,cpumask_kfunc_btf_ids,,kernel/bpf/cpumask.c
bpf_cpumask_setall,void bpf_cpumask_setall(struct bpf_cpumask * cpumask),void,struct bpf_cpumask * cpumask,KF_RCU,cpumask_kfunc_btf_ids,,kernel/bpf/cpumask.c
bpf_cpumask_subset,"bool bpf_cpumask_subset(const struct cpumask * src1, const struct cpumask * src2)",bool,"const struct cpumask * src1, const struct cpumask * src2",KF_RCU,cpumask_kfunc_btf_ids,,kernel/bpf/cpumask.c
bpf_cpumask_test_and_clear_cpu,"bool bpf_cpumask_test_and_clear_cpu(u32 cpu, struct bpf_cpumask * cpumask)",bool,"u32 cpu, struct bpf_cpumask * cpumask",KF_RCU,cpumask_kfunc_btf_ids,,kernel/bpf/cpumask.c
bpf_cpumask_test_and_set_cpu,"bool bpf_cpumask_test_and_set_cpu(u32 cpu, struct bpf_cpumask * cpumask)",bool,"u32 cpu, struct bpf_cpumask * cpumask",KF_RCU,cpumask_kfunc_btf_ids,,kernel/bpf/cpumask.c
bpf_cpumask_test_cpu,"bool bpf_cpumask_test_cpu(u32 cpu, const struct cpumask * cpumask)",bool,"u32 cpu, const struct cpumask * cpumask",KF_RCU,cpumask_kfunc_btf_ids,,kernel/bpf/cpumask.c
bpf_cpumask_weight,u32 bpf_cpumask_weight(const struct cpumask * cpumask),u32,const struct cpumask * cpumask,KF_RCU,cpumask_kfunc_btf_ids,,kernel/bpf/cpumask.c
bpf_cpumask_xor,"void bpf_cpumask_xor(struct bpf_cpumask * dst, const struct cpumask * src1, const struct cpumask * src2)",void,"struct bpf_cpumask * dst, const struct cpumask * src1, const struct cpumask * src2",KF_RCU,cpumask_kfunc_btf_ids,,kernel/bpf/cpumask.c
bpf_crypto_ctx_acquire,struct bpf_crypto_ctx *bpf_crypto_ctx_acquire(struct bpf_crypto_ctx * ctx),struct bpf_crypto_ctx *,struct bpf_crypto_ctx * ctx,KF_ACQUIRE|KF_RCU|KF_RET_NULL,crypt_init_kfunc_btf_ids,,kernel/bpf/crypto.c
bpf_crypto_ctx_create,"struct bpf_crypto_ctx *bpf_crypto_ctx_create(const struct bpf_crypto_params * params, u32 params__sz, int * err)",struct bpf_crypto_ctx *,"const struct bpf_crypto_params * params, u32 params__sz, int * err",KF_ACQUIRE|KF_RET_NULL|KF_SLEEPABLE,crypt_init_kfunc_btf_ids,,kernel/bpf/crypto.c
bpf_crypto_ctx_release,void bpf_crypto_ctx_release(struct bpf_crypto_ctx * ctx),void,struct bpf_crypto_ctx * ctx,KF_RELEASE,crypt_init_kfunc_btf_ids,,kernel/bpf/crypto.c
bpf_crypto_decrypt,"int bpf_crypto_decrypt(struct bpf_crypto_ctx * ctx, const struct bpf_dynptr * src, const struct bpf_dynptr * dst, const struct bpf_dynptr * siv__nullable)",int,"struct bpf_crypto_ctx * ctx, const struct bpf_dynptr * src, const struct bpf_dynptr * dst, const struct bpf_dynptr * siv__nullable",KF_RCU,crypt_kfunc_btf_ids,,kernel/bpf/crypto.c
bpf_crypto_encrypt,"int bpf_crypto_encrypt(struct bpf_crypto_ctx * ctx, const struct bpf_dynptr * src, const struct bpf_dynptr * dst, const struct bpf_dynptr * siv__nullable)",int,"struct bpf_crypto_ctx * ctx, const struct bpf_dynptr * src, const struct bpf_dynptr * dst, const struct bpf_dynptr * siv__nullable",KF_RCU,crypt_kfunc_btf_ids,,kernel/bpf/crypto.c
bpf_ct_change_status,"int bpf_ct_change_status(struct nf_conn * nfct, u32 status)",int,"struct nf_conn * nfct, u32 status",KF_TRUSTED_ARGS,nf_ct_kfunc_set,,net/netfilter/nf_conntrack_bpf.c
bpf_ct_change_timeout,"int bpf_ct_change_timeout(struct nf_conn * nfct, u32 timeout)",int,"struct nf_conn * nfct, u32 timeout",KF_TRUSTED_ARGS,nf_ct_kfunc_set,,net/netfilter/nf_conntrack_bpf.c
bpf_ct_insert_entry,struct nf_conn *bpf_ct_insert_entry(struct nf_conn___init * nfct_i),struct nf_conn *,struct nf_conn___init * nfct_i,KF_ACQUIRE|KF_RET_NULL|KF_RELEASE,nf_ct_kfunc_set,,
bpf_ct_release,void bpf_ct_release(struct nf_conn * nfct),void,struct nf_conn * nfct,KF_RELEASE,nf_ct_kfunc_set,,net/netfilter/nf_conntrack_bpf.c
