name,count,files,locations
bpf_map_lookup_elem,200,"bpf/bpf_host.c,bpf/bpf_lxc.c,bpf/bpf_overlay.c,bpf/bpf_sock.c,bpf/bpf_sock_term.c,bpf/bpf_xdp.c,bpf/include/bpf/ctx/xdp.h,bpf/lib/act.h,bpf/lib/auth.h,bpf/lib/config_map.h,bpf/lib/conntrack.h,bpf/lib/conntrack_map.h,bpf/lib/edt.h,bpf/lib/egress_gateway.h,bpf/lib/eps.h,bpf/lib/ipsec.h,bpf/lib/ipv4.h,bpf/lib/ipv6.h,bpf/lib/l2_responder.h,bpf/lib/lb.h,bpf/lib/lrp.h,bpf/lib/mcast.h,bpf/lib/metrics.h,bpf/lib/nat.h,bpf/lib/neigh.h,bpf/lib/node.h,bpf/lib/nodeport_egress.h,bpf/lib/overloadable_xdp.h,bpf/lib/policy.h,bpf/lib/ratelimit.h,bpf/lib/srv6.h,bpf/lib/subnet.h,bpf/lib/token_bucket.h,bpf/lib/trace_helpers.h,bpf/tests/bpf_ct_tests.c,bpf/tests/bpf_nat_tests.c,bpf/tests/conntrack_test.c,bpf/tests/eni_nlb_symetric_routing_host.c,bpf/tests/host_bpf_masq.c,bpf/tests/hostfw_bpf_masq.c,bpf/tests/hostfw_extended_protocols.c,bpf/tests/hostfw_host_iptables.c,bpf/tests/inter_cluster_snat_clusterip_backend_lxc.c,bpf/tests/inter_cluster_snat_clusterip_client_lxc.c,bpf/tests/inter_cluster_snat_clusterip_client_overlay.c,bpf/tests/lib/egressgw.h,bpf/tests/lxc_extended_protocols.c,bpf/tests/mock_skb_metadata.h,bpf/tests/nodeport_overlay_nat_lb.c,bpf/tests/ratelimit.c,bpf/tests/skip_tunnel_from_host.c,bpf/tests/skip_tunnel_from_lxc.c,bpf/tests/skip_tunnel_nodeport_masq.c,bpf/tests/skip_tunnel_nodeport_nat.c,bpf/tests/skip_tunnel_nodeport_revnat.c,bpf/tests/tc_egressgw_redirect_from_host.c,bpf/tests/tc_geneve_dsr_v4_legacy.c,bpf/tests/tc_geneve_dsr_v6_legacy.c,bpf/tests/tc_nodeport_l3_dev.h,bpf/tests/tc_nodeport_lb4_dsr_backend.c,bpf/tests/tc_nodeport_lb4_nat_lb.c,bpf/tests/tc_nodeport_lb6_dsr_backend.c,bpf/tests/tc_nodeport_lb6_no_backend.c,bpf/tests/tc_nodeport_test.c,bpf/tests/xdp_nodeport_lb4_nat_lb.c,pkg/bpf/testdata/unused-map-pruning.c,pkg/bpf/testdata/upgrade-map.c","bpf/bpf_host.c:287,bpf/bpf_host.c:719,bpf/bpf_host.c:809,bpf/bpf_lxc.c:662,bpf/bpf_lxc.c:1089,bpf/bpf_lxc.c:1383,bpf/bpf_lxc.c:1706,bpf/bpf_lxc.c:2017,bpf/bpf_sock_term.c:53,bpf/bpf_sock_term.c:65,bpf/bpf_overlay.c:337,bpf/bpf_overlay.c:477,bpf/bpf_xdp.c:231,bpf/bpf_xdp.c:234,bpf/bpf_xdp.c:309,bpf/bpf_xdp.c:312,bpf/bpf_sock.c:150,bpf/bpf_sock.c:556,bpf/bpf_sock.c:639,bpf/bpf_sock.c:1164,pkg/bpf/testdata/unused-map-pruning.c:30,pkg/bpf/testdata/unused-map-pruning.c:33,pkg/bpf/testdata/upgrade-map.c:17,bpf/tests/ratelimit.c:39,bpf/tests/ratelimit.c:45,bpf/tests/ratelimit.c:51,bpf/tests/ratelimit.c:67,bpf/tests/ratelimit.c:83,bpf/tests/tc_nodeport_lb4_dsr_backend.c:262,bpf/tests/tc_nodeport_lb4_dsr_backend.c:533,bpf/tests/nodeport_overlay_nat_lb.c:88,bpf/tests/nodeport_overlay_nat_lb.c:190,bpf/tests/nodeport_overlay_nat_lb.c:195,bpf/tests/nodeport_overlay_nat_lb.c:218,bpf/tests/nodeport_overlay_nat_lb.c:298,bpf/tests/tc_nodeport_test.c:167,bpf/tests/tc_nodeport_test.c:182,bpf/tests/tc_nodeport_test.c:292,bpf/tests/tc_nodeport_test.c:630,bpf/tests/tc_nodeport_test.c:644,bpf/tests/tc_nodeport_test.c:745,bpf/tests/conntrack_test.c:105,bpf/tests/conntrack_test.c:234,bpf/tests/skip_tunnel_from_lxc.c:135,bpf/tests/tc_geneve_dsr_v6_legacy.c:136,bpf/tests/tc_geneve_dsr_v4_legacy.c:129,bpf/tests/bpf_ct_tests.c:140,bpf/tests/bpf_ct_tests.c:200,bpf/tests/skip_tunnel_nodeport_nat.c:213,bpf/tests/tc_nodeport_lb6_dsr_backend.c:228,bpf/tests/tc_nodeport_lb6_no_backend.c:146,bpf/tests/inter_cluster_snat_clusterip_backend_lxc.c:214,bpf/tests/inter_cluster_snat_clusterip_backend_lxc.c:310,bpf/tests/inter_cluster_snat_clusterip_backend_lxc.c:403,bpf/tests/tc_egressgw_redirect_from_host.c:141,bpf/tests/tc_egressgw_redirect_from_host.c:200,bpf/tests/tc_egressgw_redirect_from_host.c:351,bpf/tests/tc_egressgw_redirect_from_host.c:415,bpf/tests/hostfw_host_iptables.c:101,bpf/tests/hostfw_host_iptables.c:166,bpf/tests/hostfw_host_iptables.c:295,bpf/tests/hostfw_host_iptables.c:360,bpf/tests/tc_nodeport_lb4_nat_lb.c:89,bpf/tests/tc_nodeport_lb4_nat_lb.c:742,bpf/tests/tc_nodeport_lb4_nat_lb.c:758,bpf/tests/tc_nodeport_lb4_nat_lb.c:890,bpf/tests/tc_nodeport_lb4_nat_lb.c:927,bpf/tests/tc_nodeport_lb4_nat_lb.c:1004,bpf/tests/tc_nodeport_lb4_nat_lb.c:1065,bpf/tests/tc_nodeport_lb4_nat_lb.c:1200,bpf/tests/tc_nodeport_lb4_nat_lb.c:1339,bpf/tests/skip_tunnel_nodeport_revnat.c:281,bpf/tests/xdp_nodeport_lb4_nat_lb.c:62,bpf/tests/xdp_nodeport_lb4_nat_lb.c:399,bpf/tests/xdp_nodeport_lb4_nat_lb.c:415,bpf/tests/xdp_nodeport_lb4_nat_lb.c:533,bpf/tests/bpf_nat_tests.c:1281,bpf/tests/inter_cluster_snat_clusterip_client_overlay.c:250,bpf/tests/inter_cluster_snat_clusterip_client_overlay.c:261,bpf/tests/eni_nlb_symetric_routing_host.c:46,bpf/tests/eni_nlb_symetric_routing_host.c:159,bpf/tests/eni_nlb_symetric_routing_host.c:270,bpf/tests/skip_tunnel_from_host.c:150,bpf/tests/skip_tunnel_nodeport_masq.c:150,bpf/tests/inter_cluster_snat_clusterip_client_lxc.c:219,bpf/tests/inter_cluster_snat_clusterip_client_lxc.c:231,bpf/tests/inter_cluster_snat_clusterip_client_lxc.c:321,bpf/tests/inter_cluster_snat_clusterip_client_lxc.c:411,bpf/tests/hostfw_bpf_masq.c:100,bpf/tests/hostfw_bpf_masq.c:165,bpf/tests/hostfw_extended_protocols.c:95,bpf/tests/hostfw_extended_protocols.c:166,bpf/tests/hostfw_extended_protocols.c:242,bpf/tests/lxc_extended_protocols.c:124,bpf/tests/lxc_extended_protocols.c:205,bpf/tests/host_bpf_masq.c:101,bpf/tests/host_bpf_masq.c:174,bpf/tests/host_bpf_masq.c:452,bpf/tests/host_bpf_masq.c:522,bpf/lib/nat.h:83,bpf/lib/nat.h:187,bpf/lib/nat.h:259,bpf/lib/nat.h:268,bpf/lib/nat.h:733,bpf/lib/nat.h:1280,bpf/lib/nat.h:1350,bpf/lib/nat.h:1358,bpf/lib/nat.h:1442,bpf/lib/nat.h:1473,bpf/lib/nat.h:1746,bpf/lib/act.h:38,bpf/lib/act.h:52,bpf/lib/nodeport_egress.h:606,bpf/lib/nodeport_egress.h:632,bpf/lib/egress_gateway.h:123,bpf/lib/egress_gateway.h:282,bpf/lib/ipv4.h:95,bpf/lib/ipv6.h:400,bpf/lib/subnet.h:68,bpf/lib/subnet.h:92,bpf/lib/overloadable_xdp.h:18,bpf/lib/overloadable_xdp.h:30,bpf/lib/policy.h:146,bpf/lib/policy.h:286,bpf/lib/policy.h:296,bpf/lib/neigh.h:33,bpf/lib/neigh.h:47,bpf/lib/neigh.h:78,bpf/lib/neigh.h:92,bpf/lib/ratelimit.h:81,bpf/lib/ratelimit.h:93,bpf/lib/lrp.h:50,bpf/lib/lrp.h:83,bpf/lib/trace_helpers.h:24,bpf/lib/trace_helpers.h:34,bpf/lib/conntrack_map.h:84,bpf/lib/conntrack_map.h:86,bpf/lib/conntrack_map.h:98,bpf/lib/conntrack_map.h:187,bpf/lib/conntrack_map.h:189,bpf/lib/conntrack_map.h:201,bpf/lib/eps.h:66,bpf/lib/eps.h:83,bpf/lib/eps.h:163,bpf/lib/eps.h:184,bpf/lib/node.h:50,bpf/lib/node.h:75,bpf/lib/conntrack.h:355,bpf/lib/conntrack.h:480,bpf/lib/conntrack.h:1182,bpf/lib/conntrack.h:1195,bpf/lib/conntrack.h:1233,bpf/lib/conntrack.h:1249,bpf/lib/conntrack.h:1267,bpf/lib/conntrack.h:1283,bpf/lib/conntrack.h:1298,bpf/lib/conntrack.h:1311,bpf/lib/auth.h:45,bpf/lib/lb.h:813,bpf/lib/lb.h:897,bpf/lib/lb.h:916,bpf/lib/lb.h:984,bpf/lib/lb.h:1053,bpf/lib/lb.h:1057,bpf/lib/lb.h:1176,bpf/lib/lb.h:1190,bpf/lib/lb.h:1517,bpf/lib/lb.h:1602,bpf/lib/lb.h:1621,bpf/lib/lb.h:1689,bpf/lib/lb.h:1761,bpf/lib/lb.h:1765,bpf/lib/lb.h:1884,bpf/lib/lb.h:1903,bpf/lib/token_bucket.h:29,bpf/lib/config_map.h:44,bpf/lib/mcast.h:81,bpf/lib/mcast.h:182,bpf/lib/mcast.h:236,bpf/lib/mcast.h:267,bpf/lib/mcast.h:417,bpf/lib/ipsec.h:41,bpf/lib/l2_responder.h:82,bpf/lib/l2_responder.h:98,bpf/lib/srv6.h:83,bpf/lib/srv6.h:102,bpf/lib/srv6.h:122,bpf/lib/srv6.h:142,bpf/lib/srv6.h:150,bpf/lib/metrics.h:58,bpf/lib/edt.h:83,bpf/tests/mock_skb_metadata.h:38,bpf/tests/mock_skb_metadata.h:51,bpf/tests/tc_nodeport_l3_dev.h:366,bpf/tests/tc_nodeport_l3_dev.h:469,bpf/tests/lib/egressgw.h:212,bpf/tests/lib/egressgw.h:440,bpf/include/bpf/ctx/xdp.h:403,bpf/include/bpf/ctx/xdp.h:413,bpf/include/bpf/ctx/xdp.h:424"
bpf_map_update_elem,80,"bpf/bpf_host.c,bpf/bpf_lxc.c,bpf/bpf_sock.c,bpf/lib/act.h,bpf/lib/config_map.h,bpf/lib/conntrack.h,bpf/lib/ipv4.h,bpf/lib/ipv6.h,bpf/lib/lb.h,bpf/lib/mcast.h,bpf/lib/metrics.h,bpf/lib/nat.h,bpf/lib/neigh.h,bpf/lib/policy.h,bpf/lib/ratelimit.h,bpf/tests/bpf_nat_icmp6.h,bpf/tests/conntrack_test.c,bpf/tests/destroy_sock_socket_lb.c,bpf/tests/host_only_socket_lb_test.c,bpf/tests/l4lb_ipip_health_check_host.c,bpf/tests/lib/egressgw_policy.h,bpf/tests/lib/endpoint.h,bpf/tests/lib/ipcache.h,bpf/tests/lib/ipsec.h,bpf/tests/lib/lb.h,bpf/tests/lib/node.h,bpf/tests/lib/policy.h,bpf/tests/session_affinity_maglev_test.c,bpf/tests/session_affinity_test.c,bpf/tests/skip_lb_xlate_lrp_per_packet_lb.c,bpf/tests/skip_lb_xlate_socket_lb.c,bpf/tests/tc_l2_announcement.c,bpf/tests/tc_l2_announcement6.c,bpf/tests/tc_nodeport_icmp4_snat.h,bpf/tests/tc_srv6_decap.c,bpf/tests/tc_srv6_encap.c,bpf/tests/wildcard_lookup.c,bpf/tests/xdp_egressgw_reply.c","bpf/bpf_host.c:233,bpf/bpf_host.c:670,bpf/bpf_lxc.c:506,bpf/bpf_lxc.c:573,bpf/bpf_sock.c:152,bpf/bpf_sock.c:518,bpf/bpf_sock.c:641,bpf/bpf_sock.c:943,bpf/tests/tc_l2_announcement.c:105,bpf/tests/session_affinity_test.c:142,bpf/tests/session_affinity_test.c:147,bpf/tests/session_affinity_test.c:152,bpf/tests/session_affinity_test.c:155,bpf/tests/conntrack_test.c:101,bpf/tests/conntrack_test.c:230,bpf/tests/tc_srv6_decap.c:111,bpf/tests/tc_srv6_decap.c:247,bpf/tests/tc_srv6_decap.c:384,bpf/tests/tc_srv6_decap.c:525,bpf/tests/session_affinity_maglev_test.c:198,bpf/tests/destroy_sock_socket_lb.c:72,bpf/tests/destroy_sock_socket_lb.c:79,bpf/tests/tc_srv6_encap.c:85,bpf/tests/tc_srv6_encap.c:86,bpf/tests/tc_srv6_encap.c:234,bpf/tests/tc_srv6_encap.c:238,bpf/tests/xdp_egressgw_reply.c:89,bpf/tests/xdp_egressgw_reply.c:118,bpf/tests/xdp_egressgw_reply.c:250,bpf/tests/xdp_egressgw_reply.c:284,bpf/tests/tc_l2_announcement6.c:160,bpf/tests/l4lb_ipip_health_check_host.c:111,bpf/tests/host_only_socket_lb_test.c:83,bpf/tests/host_only_socket_lb_test.c:87,bpf/tests/skip_lb_xlate_lrp_per_packet_lb.c:69,bpf/tests/skip_lb_xlate_lrp_per_packet_lb.c:165,bpf/tests/wildcard_lookup.c:97,bpf/tests/wildcard_lookup.c:286,bpf/tests/wildcard_lookup.c:305,bpf/tests/skip_lb_xlate_socket_lb.c:80,bpf/tests/skip_lb_xlate_socket_lb.c:152,bpf/lib/nat.h:89,bpf/lib/nat.h:575,bpf/lib/nat.h:1638,bpf/lib/act.h:56,bpf/lib/ipv4.h:130,bpf/lib/ipv6.h:443,bpf/lib/policy.h:154,bpf/lib/neigh.h:35,bpf/lib/neigh.h:80,bpf/lib/ratelimit.h:85,bpf/lib/ratelimit.h:97,bpf/lib/conntrack.h:1093,bpf/lib/conntrack.h:1103,bpf/lib/conntrack.h:1148,bpf/lib/conntrack.h:1162,bpf/lib/lb.h:1228,bpf/lib/lb.h:1938,bpf/lib/config_map.h:58,bpf/lib/mcast.h:115,bpf/lib/metrics.h:65,bpf/tests/tc_nodeport_icmp4_snat.h:112,bpf/tests/bpf_nat_icmp6.h:164,bpf/tests/lib/policy.h:59,bpf/tests/lib/endpoint.h:21,bpf/tests/lib/node.h:12,bpf/tests/lib/egressgw_policy.h:19,bpf/tests/lib/egressgw_policy.h:53,bpf/tests/lib/lb.h:43,bpf/tests/lib/lb.h:49,bpf/tests/lib/lb.h:75,bpf/tests/lib/lb.h:106,bpf/tests/lib/lb.h:132,bpf/tests/lib/lb.h:163,bpf/tests/lib/lb.h:165,bpf/tests/lib/lb.h:173,bpf/tests/lib/lb.h:210,bpf/tests/lib/lb.h:220,bpf/tests/lib/ipcache.h:24,bpf/tests/lib/ipsec.h:14"
bpf_csum_diff,53,"bpf/include/bpf/csum.h,bpf/lib/icmp.h,bpf/lib/icmp6.h,bpf/lib/ipv6.h,bpf/lib/lb.h,bpf/lib/nat.h,bpf/lib/nat_46x64.h,bpf/lib/nodeport.h,bpf/lib/overloadable_xdp.h,bpf/tests/pktgen.h","bpf/lib/nat.h:477,bpf/lib/nat.h:1560,bpf/lib/ipv6.h:335,bpf/lib/ipv6.h:336,bpf/lib/ipv6.h:337,bpf/lib/ipv6.h:338,bpf/lib/overloadable_xdp.h:247,bpf/lib/nat_46x64.h:180,bpf/lib/nat_46x64.h:257,bpf/lib/nat_46x64.h:303,bpf/lib/nat_46x64.h:304,bpf/lib/nat_46x64.h:343,bpf/lib/nat_46x64.h:360,bpf/lib/nat_46x64.h:361,bpf/lib/icmp6.h:62,bpf/lib/icmp6.h:66,bpf/lib/icmp6.h:148,bpf/lib/icmp6.h:182,bpf/lib/icmp6.h:204,bpf/lib/icmp6.h:217,bpf/lib/icmp.h:150,bpf/lib/icmp.h:160,bpf/lib/nodeport.h:664,bpf/lib/nodeport.h:665,bpf/lib/nodeport.h:667,bpf/lib/nodeport.h:1669,bpf/lib/nodeport.h:1732,bpf/lib/nodeport.h:1733,bpf/lib/nodeport.h:1828,bpf/lib/nodeport.h:1833,bpf/lib/nodeport.h:2039,bpf/lib/nodeport.h:2054,bpf/lib/nodeport.h:2069,bpf/lib/nodeport.h:2070,bpf/lib/lb.h:715,bpf/lib/lb.h:1133,bpf/lib/lb.h:1140,bpf/lib/lb.h:1473,bpf/lib/lb.h:1485,bpf/lib/lb.h:1842,bpf/lib/lb.h:1852,bpf/tests/pktgen.h:1004,bpf/tests/pktgen.h:1136,bpf/tests/pktgen.h:1137,bpf/tests/pktgen.h:1139,bpf/tests/pktgen.h:1151,bpf/tests/pktgen.h:1152,bpf/tests/pktgen.h:1154,bpf/tests/pktgen.h:1174,bpf/tests/pktgen.h:1180,bpf/tests/pktgen.h:1200,bpf/tests/pktgen.h:1206,bpf/include/bpf/csum.h:32"
bpf_map_delete_elem,29,"bpf/bpf_sock.c,bpf/lib/lb.h,bpf/lib/mcast.h,bpf/lib/nat.h,bpf/tests/lib/clear.h,bpf/tests/lib/egressgw_policy.h,bpf/tests/lib/endpoint.h,bpf/tests/lib/lb.h,bpf/tests/lib/policy.h,bpf/tests/skip_tunnel_from_host.c,bpf/tests/skip_tunnel_from_lxc.c,bpf/tests/tc_egressgw_redirect_from_host.c,bpf/tests/tc_nodeport_l3_dev.h,bpf/tests/tc_nodeport_lb4_nat_lb.c","bpf/bpf_sock.c:167,bpf/bpf_sock.c:572,bpf/bpf_sock.c:668,bpf/bpf_sock.c:1180,bpf/tests/skip_tunnel_from_lxc.c:86,bpf/tests/tc_egressgw_redirect_from_host.c:116,bpf/tests/tc_egressgw_redirect_from_host.c:173,bpf/tests/tc_egressgw_redirect_from_host.c:320,bpf/tests/tc_egressgw_redirect_from_host.c:383,bpf/tests/tc_nodeport_lb4_nat_lb.c:940,bpf/tests/tc_nodeport_lb4_nat_lb.c:1149,bpf/tests/tc_nodeport_lb4_nat_lb.c:1237,bpf/tests/skip_tunnel_from_host.c:97,bpf/lib/nat.h:95,bpf/lib/nat.h:278,bpf/lib/nat.h:1367,bpf/lib/lb.h:1186,bpf/lib/lb.h:1191,bpf/lib/lb.h:1899,bpf/lib/lb.h:1904,bpf/lib/mcast.h:125,bpf/tests/tc_nodeport_l3_dev.h:190,bpf/tests/lib/policy.h:36,bpf/tests/lib/endpoint.h:45,bpf/tests/lib/egressgw_policy.h:30,bpf/tests/lib/egressgw_policy.h:66,bpf/tests/lib/lb.h:15,bpf/tests/lib/lb.h:17,bpf/tests/lib/clear.h:7"
bpf_ktime_get_ns,14,"bpf/lib/edt.h,bpf/lib/l2_responder.h,bpf/lib/ratelimit.h,bpf/lib/time.h,bpf/lib/token_bucket.h,bpf/lib/utime.h,bpf/tests/conntrack_test.c,bpf/tests/ratelimit.c,bpf/tests/tc_l2_announcement.c,bpf/tests/tc_l2_announcement6.c","bpf/tests/ratelimit.c:73,bpf/tests/ratelimit.c:89,bpf/tests/tc_l2_announcement.c:107,bpf/tests/conntrack_test.c:15,bpf/tests/tc_l2_announcement6.c:162,bpf/lib/ratelimit.h:76,bpf/lib/utime.h:25,bpf/lib/time.h:15,bpf/lib/time.h:17,bpf/lib/time.h:19,bpf/lib/time.h:21,bpf/lib/token_bucket.h:35,bpf/lib/l2_responder.h:71,bpf/lib/edt.h:89"
bpf_get_prandom_u32,12,"bpf/bpf_sock.c,bpf/lib/lb.h,bpf/lib/nat.h,bpf/lib/sock.h,bpf/tests/bpf_nat_tests.c,bpf/tests/builtin_test.h","bpf/bpf_sock.c:110,bpf/tests/bpf_nat_tests.c:1327,bpf/tests/bpf_nat_tests.c:1458,bpf/lib/sock.h:16,bpf/lib/nat.h:77,bpf/lib/nat.h:256,bpf/lib/nat.h:1347,bpf/lib/lb.h:1032,bpf/lib/lb.h:1737,bpf/tests/builtin_test.h:47,bpf/tests/builtin_test.h:52,bpf/tests/builtin_test.h:53"
bpf_get_socket_cookie,11,"bpf/bpf_sock.c,bpf/bpf_sock_term.c,bpf/lib/nodeport_egress.h,bpf/lib/sock.h","bpf/bpf_sock_term.c:77,bpf/bpf_sock_term.c:97,bpf/bpf_sock_term.c:117,bpf/bpf_sock_term.c:137,bpf/bpf_sock.c:163,bpf/bpf_sock.c:508,bpf/bpf_sock.c:664,bpf/bpf_sock.c:942,bpf/lib/sock.h:18,bpf/lib/nodeport_egress.h:605,bpf/lib/nodeport_egress.h:631"
bpf_skb_adjust_room,8,"bpf/lib/icmp.h,bpf/lib/lb.h,bpf/tests/classifiers_common.h,bpf/tests/tc_nodeport_l3_dev.h,bpf/tests/tc_nodeport_l3_dev_lb_dsr_geneve_lb.c,bpf/tests/tc_nodeport_l3_dev_to_tunnel.c","bpf/tests/tc_nodeport_l3_dev_lb_dsr_geneve_lb.c:103,bpf/tests/tc_nodeport_l3_dev_lb_dsr_geneve_lb.c:210,bpf/tests/tc_nodeport_l3_dev_to_tunnel.c:94,bpf/tests/tc_nodeport_l3_dev_to_tunnel.c:193,bpf/lib/icmp.h:115,bpf/lib/lb.h:2231,bpf/tests/tc_nodeport_l3_dev.h:218,bpf/tests/classifiers_common.h:57"
bpf_l4_csum_replace,8,"bpf/include/bpf/ctx/xdp.h,bpf/lib/csum.h,bpf/lib/icmp6.h,bpf/lib/nat_46x64.h","bpf/lib/csum.h:77,bpf/lib/nat_46x64.h:312,bpf/lib/nat_46x64.h:369,bpf/lib/icmp6.h:63,bpf/lib/icmp6.h:67,bpf/lib/icmp6.h:205,bpf/lib/icmp6.h:308,bpf/include/bpf/ctx/xdp.h:189"
bpf_tail_call,7,"bpf/include/bpf/tailcall.h,bpf/tests/tc_nodeport_l3_dev.h,bpf/tests/tc_nodeport_lb4_dsr_backend.c,bpf/tests/tc_nodeport_lb4_nat_backend.c,bpf/tests/tc_nodeport_lb4_nat_lb.c,bpf/tests/tc_nodeport_lb6_dsr_backend.c,bpf/tests/tc_nodeport_lb_terminating_backend.c","bpf/tests/tc_nodeport_lb4_dsr_backend.c:57,bpf/tests/tc_nodeport_lb4_nat_backend.c:52,bpf/tests/tc_nodeport_lb6_dsr_backend.c:54,bpf/tests/tc_nodeport_lb_terminating_backend.c:59,bpf/tests/tc_nodeport_lb4_nat_lb.c:68,bpf/tests/tc_nodeport_l3_dev.h:56,bpf/include/bpf/tailcall.h:47"
