name,count,files,locations
bpf_map_lookup_elem,160,"katran/decap/bpf/decap.bpf.c,katran/decap/tc_bpf/tc_decap.bpf.c,katran/decap/tc_bpf/tc_decap_stats.bpf.c,katran/lib/bpf/balancer.bpf.c,katran/lib/bpf/balancer_helpers.h,katran/lib/bpf/flow_debug_helpers.h,katran/lib/bpf/handle_icmp.h,katran/lib/bpf/healthchecking.bpf.c,katran/lib/bpf/healthchecking_helpers.h,katran/lib/bpf/healthchecking_ipip.c,katran/lib/bpf/pckt_encap.h,katran/lib/bpf/pckt_parsing.h,katran/lib/bpf/xdp_pktcntr.c,katran/tpr/bpf/tcp_pkt_router.bpf.c,katran/tpr/bpf/tcp_pkt_router_passive_hdlr.h,katran/tpr/bpf_util/BpfUtil.h","katran/tpr/bpf/tcp_pkt_router.bpf.c:120,katran/tpr/bpf/tcp_pkt_router.bpf.c:126,katran/decap/tc_bpf/tc_decap.bpf.c:94,katran/decap/tc_bpf/tc_decap_stats.bpf.c:57,katran/decap/tc_bpf/tc_decap_stats.bpf.c:60,katran/decap/tc_bpf/tc_decap_stats.bpf.c:72,katran/decap/tc_bpf/tc_decap_stats.bpf.c:87,katran/decap/tc_bpf/tc_decap_stats.bpf.c:111,katran/decap/tc_bpf/tc_decap_stats.bpf.c:116,katran/decap/tc_bpf/tc_decap_stats.bpf.c:138,katran/decap/bpf/decap.bpf.c:102,katran/decap/bpf/decap.bpf.c:117,katran/decap/bpf/decap.bpf.c:246,katran/decap/bpf/decap.bpf.c:280,katran/lib/bpf/balancer.bpf.c:42,katran/lib/bpf/balancer.bpf.c:69,katran/lib/bpf/balancer.bpf.c:80,katran/lib/bpf/balancer.bpf.c:111,katran/lib/bpf/balancer.bpf.c:116,katran/lib/bpf/balancer.bpf.c:123,katran/lib/bpf/balancer.bpf.c:146,katran/lib/bpf/balancer.bpf.c:159,katran/lib/bpf/balancer.bpf.c:185,katran/lib/bpf/balancer.bpf.c:198,katran/lib/bpf/balancer.bpf.c:214,katran/lib/bpf/balancer.bpf.c:219,katran/lib/bpf/balancer.bpf.c:233,katran/lib/bpf/balancer.bpf.c:248,katran/lib/bpf/balancer.bpf.c:274,katran/lib/bpf/balancer.bpf.c:278,katran/lib/bpf/balancer.bpf.c:343,katran/lib/bpf/balancer.bpf.c:363,katran/lib/bpf/balancer.bpf.c:420,katran/lib/bpf/balancer.bpf.c:425,katran/lib/bpf/balancer.bpf.c:480,katran/lib/bpf/balancer.bpf.c:502,katran/lib/bpf/balancer.bpf.c:525,katran/lib/bpf/balancer.bpf.c:534,katran/lib/bpf/balancer.bpf.c:540,katran/lib/bpf/balancer.bpf.c:588,katran/lib/bpf/balancer.bpf.c:603,katran/lib/bpf/balancer.bpf.c:619,katran/lib/bpf/balancer.bpf.c:641,katran/lib/bpf/balancer.bpf.c:662,katran/lib/bpf/balancer.bpf.c:664,katran/lib/bpf/balancer.bpf.c:670,katran/lib/bpf/balancer.bpf.c:787,katran/lib/bpf/balancer.bpf.c:790,katran/lib/bpf/balancer.bpf.c:807,katran/lib/bpf/balancer.bpf.c:823,katran/lib/bpf/balancer.bpf.c:839,katran/lib/bpf/balancer.bpf.c:843,katran/lib/bpf/balancer.bpf.c:864,katran/lib/bpf/balancer.bpf.c:876,katran/lib/bpf/balancer.bpf.c:886,katran/lib/bpf/balancer.bpf.c:898,katran/lib/bpf/balancer.bpf.c:952,katran/lib/bpf/balancer.bpf.c:1004,katran/lib/bpf/balancer.bpf.c:1033,katran/lib/bpf/balancer.bpf.c:1039,katran/lib/bpf/balancer.bpf.c:1047,katran/lib/bpf/balancer.bpf.c:1091,katran/lib/bpf/balancer.bpf.c:1118,katran/lib/bpf/healthchecking_ipip.c:101,katran/lib/bpf/healthchecking_ipip.c:111,katran/lib/bpf/healthchecking_ipip.c:125,katran/lib/bpf/healthchecking_ipip.c:133,katran/lib/bpf/xdp_pktcntr.c:51,katran/lib/bpf/xdp_pktcntr.c:57,katran/lib/bpf/healthchecking.bpf.c:51,katran/lib/bpf/healthchecking.bpf.c:61,katran/lib/bpf/healthchecking.bpf.c:78,katran/lib/bpf/healthchecking.bpf.c:87,katran/lib/bpf/healthchecking.bpf.c:94,katran/lib/bpf/healthchecking.bpf.c:136,katran/lib/bpf/healthchecking.bpf.c:139,katran/tpr/bpf_util/BpfUtil.h:54,katran/tpr/bpf/tcp_pkt_router_passive_hdlr.h:22,katran/lib/bpf/pckt_parsing.h:322,katran/lib/bpf/pckt_parsing.h:334,katran/lib/bpf/balancer_helpers.h:56,katran/lib/bpf/pckt_encap.h:255,katran/lib/bpf/pckt_encap.h:314,katran/lib/bpf/flow_debug_helpers.h:68,katran/lib/bpf/handle_icmp.h:250,katran/lib/bpf/handle_icmp.h:296,katran/lib/bpf/healthchecking_helpers.h:95,katran/lib/bpf/healthchecking_helpers.h:125,katran/lib/bpf/healthchecking_helpers.h:175,katran/lib/bpf/healthchecking_helpers.h:202,katran/tpr/bpf/tcp_pkt_router.bpf.c:120,katran/tpr/bpf/tcp_pkt_router.bpf.c:126,katran/decap/tc_bpf/tc_decap.bpf.c:94,katran/decap/tc_bpf/tc_decap_stats.bpf.c:57,katran/decap/tc_bpf/tc_decap_stats.bpf.c:60,katran/decap/tc_bpf/tc_decap_stats.bpf.c:72,katran/decap/tc_bpf/tc_decap_stats.bpf.c:87,katran/decap/tc_bpf/tc_decap_stats.bpf.c:111,katran/decap/tc_bpf/tc_decap_stats.bpf.c:116,katran/decap/tc_bpf/tc_decap_stats.bpf.c:138,katran/decap/bpf/decap.bpf.c:102,katran/decap/bpf/decap.bpf.c:117,katran/decap/bpf/decap.bpf.c:246,katran/decap/bpf/decap.bpf.c:280,katran/lib/bpf/balancer.bpf.c:42,katran/lib/bpf/balancer.bpf.c:69,katran/lib/bpf/balancer.bpf.c:80,katran/lib/bpf/balancer.bpf.c:111,katran/lib/bpf/balancer.bpf.c:116,katran/lib/bpf/balancer.bpf.c:123,katran/lib/bpf/balancer.bpf.c:146,katran/lib/bpf/balancer.bpf.c:159,katran/lib/bpf/balancer.bpf.c:185,katran/lib/bpf/balancer.bpf.c:198,katran/lib/bpf/balancer.bpf.c:214,katran/lib/bpf/balancer.bpf.c:219,katran/lib/bpf/balancer.bpf.c:233,katran/lib/bpf/balancer.bpf.c:248,katran/lib/bpf/balancer.bpf.c:274,katran/lib/bpf/balancer.bpf.c:278,katran/lib/bpf/balancer.bpf.c:343,katran/lib/bpf/balancer.bpf.c:363,katran/lib/bpf/balancer.bpf.c:420,katran/lib/bpf/balancer.bpf.c:425,katran/lib/bpf/balancer.bpf.c:480,katran/lib/bpf/balancer.bpf.c:502,katran/lib/bpf/balancer.bpf.c:525,katran/lib/bpf/balancer.bpf.c:534,katran/lib/bpf/balancer.bpf.c:540,katran/lib/bpf/balancer.bpf.c:588,katran/lib/bpf/balancer.bpf.c:603,katran/lib/bpf/balancer.bpf.c:619,katran/lib/bpf/balancer.bpf.c:641,katran/lib/bpf/balancer.bpf.c:662,katran/lib/bpf/balancer.bpf.c:664,katran/lib/bpf/balancer.bpf.c:670,katran/lib/bpf/balancer.bpf.c:787,katran/lib/bpf/balancer.bpf.c:790,katran/lib/bpf/balancer.bpf.c:807,katran/lib/bpf/balancer.bpf.c:823,katran/lib/bpf/balancer.bpf.c:839,katran/lib/bpf/balancer.bpf.c:843,katran/lib/bpf/balancer.bpf.c:864,katran/lib/bpf/balancer.bpf.c:876,katran/lib/bpf/balancer.bpf.c:886,katran/lib/bpf/balancer.bpf.c:898,katran/lib/bpf/balancer.bpf.c:952,katran/lib/bpf/balancer.bpf.c:1004,katran/lib/bpf/balancer.bpf.c:1033,katran/lib/bpf/balancer.bpf.c:1039,katran/lib/bpf/balancer.bpf.c:1047,katran/lib/bpf/balancer.bpf.c:1091,katran/lib/bpf/balancer.bpf.c:1118,katran/lib/bpf/healthchecking.bpf.c:51,katran/lib/bpf/healthchecking.bpf.c:61,katran/lib/bpf/healthchecking.bpf.c:78,katran/lib/bpf/healthchecking.bpf.c:87,katran/lib/bpf/healthchecking.bpf.c:94,katran/lib/bpf/healthchecking.bpf.c:136,katran/lib/bpf/healthchecking.bpf.c:139"
bpf_csum_diff,36,katran/lib/bpf/csum_helpers.h,"katran/lib/bpf/csum_helpers.h:46,katran/lib/bpf/csum_helpers.h:64,katran/lib/bpf/csum_helpers.h:65,katran/lib/bpf/csum_helpers.h:67,katran/lib/bpf/csum_helpers.h:69,katran/lib/bpf/csum_helpers.h:70,katran/lib/bpf/csum_helpers.h:78,katran/lib/bpf/csum_helpers.h:79,katran/lib/bpf/csum_helpers.h:81,katran/lib/bpf/csum_helpers.h:83,katran/lib/bpf/csum_helpers.h:85,katran/lib/bpf/csum_helpers.h:99,katran/lib/bpf/csum_helpers.h:104,katran/lib/bpf/csum_helpers.h:114,katran/lib/bpf/csum_helpers.h:120,katran/lib/bpf/csum_helpers.h:133,katran/lib/bpf/csum_helpers.h:138,katran/lib/bpf/csum_helpers.h:145,katran/lib/bpf/csum_helpers.h:151,katran/lib/bpf/csum_helpers.h:164,katran/lib/bpf/csum_helpers.h:169,katran/lib/bpf/csum_helpers.h:176,katran/lib/bpf/csum_helpers.h:182,katran/lib/bpf/csum_helpers.h:195,katran/lib/bpf/csum_helpers.h:200,katran/lib/bpf/csum_helpers.h:207,katran/lib/bpf/csum_helpers.h:213,katran/lib/bpf/csum_helpers.h:244,katran/lib/bpf/csum_helpers.h:252,katran/lib/bpf/csum_helpers.h:257,katran/lib/bpf/csum_helpers.h:278,katran/lib/bpf/csum_helpers.h:286,katran/lib/bpf/csum_helpers.h:291,katran/lib/bpf/csum_helpers.h:312,katran/lib/bpf/csum_helpers.h:320,katran/lib/bpf/csum_helpers.h:325"
bpf_skb_pull_data,10,"katran/decap/tc_bpf/tc_decap.bpf.c,katran/decap/tc_bpf/tc_decap_info.bpf.c","katran/decap/tc_bpf/tc_decap.bpf.c:141,katran/decap/tc_bpf/tc_decap.bpf.c:157,katran/decap/tc_bpf/tc_decap_info.bpf.c:179,katran/decap/tc_bpf/tc_decap_info.bpf.c:251,katran/decap/tc_bpf/tc_decap_info.bpf.c:298,katran/decap/tc_bpf/tc_decap.bpf.c:141,katran/decap/tc_bpf/tc_decap.bpf.c:157,katran/decap/tc_bpf/tc_decap_info.bpf.c:179,katran/decap/tc_bpf/tc_decap_info.bpf.c:251,katran/decap/tc_bpf/tc_decap_info.bpf.c:298"
bpf_skb_adjust_room,8,"katran/decap/tc_bpf/tc_decap_kern_helpers.h,katran/lib/bpf/healthchecking_helpers.h","katran/decap/tc_bpf/tc_decap_kern_helpers.h:55,katran/decap/tc_bpf/tc_decap_kern_helpers.h:80,katran/decap/tc_bpf/tc_decap_kern_helpers.h:105,katran/decap/tc_bpf/tc_decap_kern_helpers.h:146,katran/lib/bpf/healthchecking_helpers.h:102,katran/lib/bpf/healthchecking_helpers.h:132,katran/lib/bpf/healthchecking_helpers.h:183,katran/lib/bpf/healthchecking_helpers.h:210"
bpf_map_update_elem,8,"katran/decap/tc_bpf/tc_decap_info.bpf.c,katran/lib/bpf/balancer.bpf.c,katran/lib/bpf/flow_debug_helpers.h,katran/tpr/bpf_util/BpfUtil.h","katran/decap/tc_bpf/tc_decap_info.bpf.c:140,katran/lib/bpf/balancer.bpf.c:172,katran/lib/bpf/balancer.bpf.c:634,katran/tpr/bpf_util/BpfUtil.h:36,katran/lib/bpf/flow_debug_helpers.h:122,katran/decap/tc_bpf/tc_decap_info.bpf.c:140,katran/lib/bpf/balancer.bpf.c:172,katran/lib/bpf/balancer.bpf.c:634"
bpf_get_smp_processor_id,4,"katran/lib/bpf/balancer.bpf.c,katran/lib/bpf/flow_debug_helpers.h,tools/xdpdump/XdpDumpKern.h","katran/lib/bpf/balancer.bpf.c:838,tools/xdpdump/XdpDumpKern.h:142,katran/lib/bpf/flow_debug_helpers.h:67,katran/lib/bpf/balancer.bpf.c:838"
bpf_ktime_get_ns,4,katran/lib/bpf/balancer.bpf.c,"katran/lib/bpf/balancer.bpf.c:46,katran/lib/bpf/balancer.bpf.c:190,katran/lib/bpf/balancer.bpf.c:46,katran/lib/bpf/balancer.bpf.c:190"
bpf_load_hdr_opt,4,"katran/tpr/bpf/tcp_pkt_router_active_hdlr.h,katran/tpr/bpf/tcp_pkt_router_passive_hdlr.h","katran/tpr/bpf/tcp_pkt_router_passive_hdlr.h:28,katran/tpr/bpf/tcp_pkt_router_passive_hdlr.h:50,katran/tpr/bpf/tcp_pkt_router_passive_hdlr.h:125,katran/tpr/bpf/tcp_pkt_router_active_hdlr.h:25"
bpf_sock_ops_cb_flags_set,4,katran/tpr/bpf/tcp_pkt_router_common.h,"katran/tpr/bpf/tcp_pkt_router_common.h:79,katran/tpr/bpf/tcp_pkt_router_common.h:90,katran/tpr/bpf/tcp_pkt_router_common.h:102,katran/tpr/bpf/tcp_pkt_router_common.h:115"
bpf_redirect,3,"katran/lib/bpf/healthchecking.bpf.c,katran/lib/bpf/healthchecking_ipip.c","katran/lib/bpf/healthchecking_ipip.c:156,katran/lib/bpf/healthchecking.bpf.c:147,katran/lib/bpf/healthchecking.bpf.c:147"
