name,count,files,locations
bpf_strlen,101,"libpcap/fmtutils.c,libpcap/gencode.c,libpcap/missing/strlcat.c,libpcap/pcap-bpf.c,libpcap/pcap-dag.c,libpcap/pcap-dbus.c,libpcap/pcap-dlpi.c,libpcap/pcap-dpdk.c,libpcap/pcap-linux.c,libpcap/pcap-netfilter-linux.c,libpcap/pcap-new.c,libpcap/pcap-npf.c,libpcap/pcap-rdmasniff.c,libpcap/pcap-rpcap.c,libpcap/pcap-sita.c,libpcap/pcap-snf.c,libpcap/pcap-tc.c,libpcap/pcap.c,libpcap/rpcap-protocol.c,libpcap/rpcapd/daemon.c,libpcap/rpcapd/fileconf.c,libpcap/sockutils.c,libpcap/testprogs/can_set_rfmon_test.c,libpcap/testprogs/capturetest.c,libpcap/testprogs/filtertest.c,libpcap/testprogs/findalldevstest.c,libpcap/testprogs/nonblocktest.c,libpcap/testprogs/opentest.c,libpcap/testprogs/reactivatetest.c,libpcap/testprogs/selpolltest.c,libpcap/testprogs/threadsignaltest.c,libpcap/testprogs/valgrindtest.c,libpcap/testprogs/writecaptest.c","libpcap/pcap-rdmasniff.c:395,libpcap/pcap-rdmasniff.c:410,libpcap/rpcap-protocol.c:89,libpcap/fmtutils.c:288,libpcap/fmtutils.c:407,libpcap/pcap-sita.c:98,libpcap/pcap-sita.c:286,libpcap/pcap-sita.c:513,libpcap/pcap-sita.c:520,libpcap/pcap-sita.c:707,libpcap/pcap-sita.c:854,libpcap/pcap.c:2011,libpcap/pcap.c:2810,libpcap/pcap.c:2811,libpcap/pcap.c:2814,libpcap/pcap.c:4148,libpcap/pcap.c:4151,libpcap/pcap-bpf.c:641,libpcap/pcap-bpf.c:650,libpcap/pcap-bpf.c:755,libpcap/pcap-bpf.c:1949,libpcap/pcap-bpf.c:2751,libpcap/pcap-dpdk.c:227,libpcap/pcap-dpdk.c:532,libpcap/pcap-dpdk.c:533,libpcap/pcap-dag.c:762,libpcap/pcap-dag.c:771,libpcap/pcap-linux.c:1016,libpcap/pcap-linux.c:5186,libpcap/sockutils.c:773,libpcap/sockutils.c:788,libpcap/sockutils.c:826,libpcap/sockutils.c:841,libpcap/gencode.c:668,libpcap/gencode.c:8439,libpcap/gencode.c:8444,libpcap/gencode.c:8467,libpcap/gencode.c:8474,libpcap/pcap-new.c:90,libpcap/pcap-new.c:195,libpcap/pcap-new.c:214,libpcap/pcap-new.c:254,libpcap/pcap-new.c:258,libpcap/pcap-new.c:399,libpcap/pcap-tc.c:455,libpcap/pcap-tc.c:462,libpcap/pcap-snf.c:532,libpcap/pcap-netfilter-linux.c:529,libpcap/pcap-netfilter-linux.c:530,libpcap/pcap-netfilter-linux.c:533,libpcap/pcap-netfilter-linux.c:534,libpcap/pcap-dlpi.c:900,libpcap/pcap-npf.c:489,libpcap/pcap-npf.c:2422,libpcap/pcap-npf.c:2423,libpcap/pcap-npf.c:2459,libpcap/pcap-npf.c:2460,libpcap/pcap-npf.c:2558,libpcap/pcap-npf.c:2595,libpcap/pcap-rpcap.c:1998,libpcap/pcap-rpcap.c:2008,libpcap/pcap-rpcap.c:2051,libpcap/pcap-rpcap.c:2060,libpcap/pcap-rpcap.c:2513,libpcap/pcap-rpcap.c:2515,libpcap/pcap-rpcap.c:3281,libpcap/pcap-dbus.c:290,libpcap/missing/strlcat.c:50,libpcap/rpcapd/daemon.c:1649,libpcap/rpcapd/daemon.c:1659,libpcap/rpcapd/daemon.c:1730,libpcap/rpcapd/daemon.c:1734,libpcap/rpcapd/fileconf.c:95,libpcap/rpcapd/fileconf.c:394,libpcap/testprogs/findalldevstest.c:50,libpcap/testprogs/findalldevstest.c:169,libpcap/testprogs/nonblocktest.c:63,libpcap/testprogs/nonblocktest.c:82,libpcap/testprogs/filtertest.c:147,libpcap/testprogs/filtertest.c:166,libpcap/testprogs/filtertest.c:188,libpcap/testprogs/threadsignaltest.c:95,libpcap/testprogs/threadsignaltest.c:352,libpcap/testprogs/threadsignaltest.c:371,libpcap/testprogs/threadsignaltest.c:393,libpcap/testprogs/can_set_rfmon_test.c:89,libpcap/testprogs/valgrindtest.c:195,libpcap/testprogs/valgrindtest.c:214,libpcap/testprogs/valgrindtest.c:236,libpcap/testprogs/capturetest.c:323,libpcap/testprogs/capturetest.c:342,libpcap/testprogs/capturetest.c:364,libpcap/testprogs/selpolltest.c:388,libpcap/testprogs/selpolltest.c:407,libpcap/testprogs/selpolltest.c:429,libpcap/testprogs/writecaptest.c:499,libpcap/testprogs/writecaptest.c:518,libpcap/testprogs/writecaptest.c:540,libpcap/testprogs/reactivatetest.c:81,libpcap/testprogs/opentest.c:220,libpcap/testprogs/opentest.c:239"
bpf_strcmp,44,"libpcap/gencode.c,libpcap/nametoaddr.c,libpcap/pcap-bpf.c,libpcap/pcap-bt-monitor-linux.c,libpcap/pcap-dbus.c,libpcap/pcap-dlpi.c,libpcap/pcap-dos.c,libpcap/pcap-linux.c,libpcap/pcap-npf.c,libpcap/pcap-septel.c,libpcap/pcap-sita.c,libpcap/pcap-tc.c,libpcap/pcap.c,libpcap/rpcapd/daemon.c,libpcap/rpcapd/fileconf.c,libpcap/rpcapd/rpcapd.c,libpcap/testprogs/findalldevstest.c","libpcap/pcap-sita.c:525,libpcap/pcap-sita.c:527,libpcap/pcap-sita.c:851,libpcap/pcap-septel.c:227,libpcap/pcap.c:825,libpcap/pcap.c:1278,libpcap/pcap.c:1578,libpcap/pcap.c:2171,libpcap/pcap.c:2174,libpcap/pcap.c:2206,libpcap/pcap-bpf.c:2690,libpcap/pcap-bpf.c:2850,libpcap/pcap-bpf.c:2851,libpcap/pcap-linux.c:713,libpcap/pcap-linux.c:1050,libpcap/pcap-linux.c:4841,libpcap/pcap-linux.c:4955,libpcap/pcap-linux.c:5187,libpcap/gencode.c:6058,libpcap/gencode.c:6060,libpcap/gencode.c:6062,libpcap/pcap-dos.c:677,libpcap/pcap-tc.c:682,libpcap/pcap-dlpi.c:1752,libpcap/pcap-dlpi.c:1753,libpcap/pcap-dlpi.c:1876,libpcap/pcap-npf.c:2696,libpcap/nametoaddr.c:456,libpcap/nametoaddr.c:616,libpcap/nametoaddr.c:640,libpcap/nametoaddr.c:767,libpcap/pcap-dbus.c:190,libpcap/pcap-dbus.c:197,libpcap/pcap-dbus.c:308,libpcap/pcap-dbus.c:309,libpcap/pcap-bt-monitor-linux.c:265,libpcap/rpcapd/rpcapd.c:278,libpcap/rpcapd/daemon.c:1556,libpcap/rpcapd/fileconf.c:208,libpcap/rpcapd/fileconf.c:338,libpcap/rpcapd/fileconf.c:356,libpcap/rpcapd/fileconf.c:431,libpcap/rpcapd/fileconf.c:465,libpcap/testprogs/findalldevstest.c:172"
bpf_strchr,20,"libpcap/fad-getad.c,libpcap/fad-gifc.c,libpcap/fad-glifc.c,libpcap/missing/getopt.c,libpcap/nametoaddr.c,libpcap/pcap-bpf.c,libpcap/pcap-rdmasniff.c,libpcap/pcap-sita.c,libpcap/pcap.c,libpcap/rpcapd/daemon.c,libpcap/testprogs/findalldevstest.c,libpcap/testprogs/writecaptest.c","libpcap/pcap-rdmasniff.c:397,libpcap/pcap-sita.c:509,libpcap/pcap-sita.c:516,libpcap/pcap.c:1762,libpcap/pcap.c:1847,libpcap/pcap.c:1888,libpcap/pcap.c:1944,libpcap/pcap.c:2078,libpcap/pcap-bpf.c:1845,libpcap/pcap-bpf.c:2857,libpcap/fad-gifc.c:390,libpcap/fad-glifc.c:307,libpcap/nametoaddr.c:481,libpcap/fad-getad.c:186,libpcap/missing/getopt.c:93,libpcap/rpcapd/daemon.c:3115,libpcap/testprogs/findalldevstest.c:91,libpcap/testprogs/findalldevstest.c:127,libpcap/testprogs/writecaptest.c:90,libpcap/testprogs/writecaptest.c:102"
bpf_strrchr,17,"libpcap/missing/getopt.c,libpcap/pcap-bt-linux.c,libpcap/pcap-bt-monitor-linux.c,libpcap/pcap-dag.c,libpcap/pcap-dlpi.c,libpcap/pcap-netfilter-linux.c,libpcap/pcap-septel.c,libpcap/pcap-usb-linux.c,libpcap/testprogs/can_set_rfmon_test.c,libpcap/testprogs/capturetest.c,libpcap/testprogs/filtertest.c,libpcap/testprogs/opentest.c,libpcap/testprogs/selpolltest.c,libpcap/testprogs/threadsignaltest.c,libpcap/testprogs/valgrindtest.c,libpcap/testprogs/writecaptest.c","libpcap/pcap-septel.c:224,libpcap/pcap-dag.c:1050,libpcap/pcap-bt-linux.c:158,libpcap/pcap-netfilter-linux.c:728,libpcap/pcap-dlpi.c:358,libpcap/pcap-dlpi.c:1842,libpcap/pcap-usb-linux.c:428,libpcap/pcap-bt-monitor-linux.c:261,libpcap/missing/getopt.c:67,libpcap/testprogs/filtertest.c:239,libpcap/testprogs/threadsignaltest.c:197,libpcap/testprogs/can_set_rfmon_test.c:52,libpcap/testprogs/valgrindtest.c:283,libpcap/testprogs/capturetest.c:118,libpcap/testprogs/selpolltest.c:89,libpcap/testprogs/writecaptest.c:254,libpcap/testprogs/opentest.c:74"
bpf_strcspn,8,"libpcap/pcap-sita.c,libpcap/pcap.c,libpcap/rpcapd/fileconf.c","libpcap/pcap-sita.c:282,libpcap/pcap-sita.c:294,libpcap/pcap.c:1869,libpcap/pcap.c:1987,libpcap/rpcapd/fileconf.c:240,libpcap/rpcapd/fileconf.c:307,libpcap/rpcapd/fileconf.c:369,libpcap/rpcapd/fileconf.c:443"
bpf_strstr,8,"libpcap/pcap-npf.c,libpcap/pcap-sita.c,libpcap/pcap.c,libpcap/testprogs/writecaptest.c","libpcap/pcap-sita.c:290,libpcap/pcap.c:1580,libpcap/pcap.c:1583,libpcap/pcap.c:1586,libpcap/pcap.c:1589,libpcap/pcap.c:1592,libpcap/pcap-npf.c:1454,libpcap/testprogs/writecaptest.c:172"
bpf_iter_num_next,3,bpf/headers/bpf/bpf_helpers.h,"bpf/headers/bpf/bpf_helpers.h:324,bpf/headers/bpf/bpf_helpers.h:396,bpf/headers/bpf/bpf_helpers.h:419"
bpf_iter_num_new,3,bpf/headers/bpf/bpf_helpers.h,"bpf/headers/bpf/bpf_helpers.h:323,bpf/headers/bpf/bpf_helpers.h:390,bpf/headers/bpf/bpf_helpers.h:415"
bpf_rdonly_cast,2,bpf/headers/bpf/bpf_core_read.h,"bpf/headers/bpf/bpf_core_read.h:329,bpf/headers/bpf/bpf_core_read.h:338"
bpf_strspn,1,libpcap/pcap-sita.c,libpcap/pcap-sita.c:285
