name,count,files,locations
bpf_probe_read,167,"bpf/lib/bpf_d_path.h,bpf/libbpf/bpf_core_read.h,bpf/process/bpf_exit.h,bpf/process/bpf_generic_lsm_output.c,bpf/process/bpf_loader.c,bpf/process/bpf_process_event.h,bpf/process/data_event.h,bpf/process/generic_calls.h,bpf/process/syscall64.h,bpf/process/types/basic.h,bpf/process/types/skb.h,bpf/process/types/sock.h,bpf/process/types/sockaddr.h,bpf/process/types/socket.h","bpf/process/bpf_generic_lsm_output.c:41,bpf/process/bpf_loader.c:120,bpf/lib/bpf_d_path.h:61,bpf/lib/bpf_d_path.h:69,bpf/lib/bpf_d_path.h:149,bpf/lib/bpf_d_path.h:171,bpf/lib/bpf_d_path.h:176,bpf/lib/bpf_d_path.h:180,bpf/lib/bpf_d_path.h:190,bpf/lib/bpf_d_path.h:191,bpf/lib/bpf_d_path.h:222,bpf/lib/bpf_d_path.h:224,bpf/lib/bpf_d_path.h:225,bpf/lib/bpf_d_path.h:226,bpf/lib/bpf_d_path.h:256,bpf/lib/bpf_d_path.h:309,bpf/process/data_event.h:31,bpf/process/bpf_exit.h:70,bpf/process/generic_calls.h:102,bpf/process/generic_calls.h:125,bpf/process/generic_calls.h:146,bpf/process/generic_calls.h:158,bpf/process/generic_calls.h:161,bpf/process/generic_calls.h:164,bpf/process/generic_calls.h:173,bpf/process/generic_calls.h:176,bpf/process/generic_calls.h:244,bpf/process/generic_calls.h:251,bpf/process/generic_calls.h:255,bpf/process/generic_calls.h:259,bpf/process/generic_calls.h:273,bpf/process/generic_calls.h:274,bpf/process/generic_calls.h:296,bpf/process/generic_calls.h:303,bpf/process/generic_calls.h:309,bpf/process/generic_calls.h:315,bpf/process/generic_calls.h:346,bpf/process/generic_calls.h:385,bpf/process/generic_calls.h:402,bpf/process/generic_calls.h:467,bpf/process/bpf_process_event.h:31,bpf/process/bpf_process_event.h:36,bpf/process/bpf_process_event.h:38,bpf/process/bpf_process_event.h:62,bpf/process/bpf_process_event.h:76,bpf/process/bpf_process_event.h:96,bpf/process/bpf_process_event.h:97,bpf/process/bpf_process_event.h:98,bpf/process/bpf_process_event.h:138,bpf/process/bpf_process_event.h:148,bpf/process/bpf_process_event.h:150,bpf/process/bpf_process_event.h:151,bpf/process/bpf_process_event.h:152,bpf/process/bpf_process_event.h:153,bpf/process/bpf_process_event.h:154,bpf/process/bpf_process_event.h:155,bpf/process/bpf_process_event.h:156,bpf/process/bpf_process_event.h:157,bpf/process/bpf_process_event.h:158,bpf/process/bpf_process_event.h:170,bpf/process/bpf_process_event.h:171,bpf/process/bpf_process_event.h:174,bpf/process/bpf_process_event.h:179,bpf/process/bpf_process_event.h:184,bpf/process/bpf_process_event.h:189,bpf/process/bpf_process_event.h:194,bpf/process/bpf_process_event.h:199,bpf/process/bpf_process_event.h:207,bpf/process/bpf_process_event.h:212,bpf/process/bpf_process_event.h:213,bpf/process/bpf_process_event.h:214,bpf/process/bpf_process_event.h:221,bpf/process/bpf_process_event.h:229,bpf/process/bpf_process_event.h:234,bpf/process/bpf_process_event.h:240,bpf/process/bpf_process_event.h:242,bpf/process/bpf_process_event.h:248,bpf/process/bpf_process_event.h:259,bpf/process/bpf_process_event.h:260,bpf/process/bpf_process_event.h:261,bpf/process/syscall64.h:16,bpf/process/syscall64.h:27,bpf/libbpf/bpf_core_read.h:34,bpf/libbpf/bpf_core_read.h:43,bpf/libbpf/bpf_core_read.h:157,bpf/process/types/sock.h:33,bpf/process/types/sock.h:35,bpf/process/types/sock.h:37,bpf/process/types/sock.h:38,bpf/process/types/sock.h:46,bpf/process/types/sock.h:47,bpf/process/types/sock.h:56,bpf/process/types/sock.h:57,bpf/process/types/sock.h:60,bpf/process/types/sock.h:61,bpf/process/types/sock.h:64,bpf/process/types/sock.h:65,bpf/process/types/socket.h:19,bpf/process/types/sockaddr.h:28,bpf/process/types/sockaddr.h:34,bpf/process/types/sockaddr.h:36,bpf/process/types/sockaddr.h:39,bpf/process/types/sockaddr.h:40,bpf/process/types/skb.h:73,bpf/process/types/skb.h:108,bpf/process/types/skb.h:130,bpf/process/types/skb.h:131,bpf/process/types/skb.h:135,bpf/process/types/skb.h:139,bpf/process/types/skb.h:146,bpf/process/types/skb.h:147,bpf/process/types/skb.h:148,bpf/process/types/skb.h:155,bpf/process/types/skb.h:156,bpf/process/types/skb.h:165,bpf/process/types/skb.h:167,bpf/process/types/skb.h:172,bpf/process/types/skb.h:174,bpf/process/types/basic.h:321,bpf/process/types/basic.h:331,bpf/process/types/basic.h:387,bpf/process/types/basic.h:444,bpf/process/types/basic.h:445,bpf/process/types/basic.h:446,bpf/process/types/basic.h:447,bpf/process/types/basic.h:491,bpf/process/types/basic.h:492,bpf/process/types/basic.h:493,bpf/process/types/basic.h:494,bpf/process/types/basic.h:507,bpf/process/types/basic.h:508,bpf/process/types/basic.h:509,bpf/process/types/basic.h:510,bpf/process/types/basic.h:511,bpf/process/types/basic.h:512,bpf/process/types/basic.h:513,bpf/process/types/basic.h:514,bpf/process/types/basic.h:516,bpf/process/types/basic.h:520,bpf/process/types/basic.h:760,bpf/process/types/basic.h:762,bpf/process/types/basic.h:764,bpf/process/types/basic.h:774,bpf/process/types/basic.h:776,bpf/process/types/basic.h:778,bpf/process/types/basic.h:820,bpf/process/types/basic.h:1166,bpf/process/types/basic.h:1167,bpf/process/types/basic.h:1168,bpf/process/types/basic.h:1195,bpf/process/types/basic.h:1200,bpf/process/types/basic.h:1201,bpf/process/types/basic.h:1203,bpf/process/types/basic.h:1215,bpf/process/types/basic.h:1216,bpf/process/types/basic.h:1217,bpf/process/types/basic.h:1219,bpf/process/types/basic.h:1221,bpf/process/types/basic.h:1929,bpf/process/types/basic.h:1949,bpf/process/types/basic.h:2182,bpf/process/types/basic.h:2297,bpf/process/types/basic.h:2317,bpf/process/types/basic.h:2468,bpf/process/types/basic.h:2472,bpf/process/types/basic.h:2476,bpf/process/types/basic.h:2487"
bpf_map_lookup_elem,150,"bpf/cgroup/bpf_cgroup_events.h,bpf/cgroup/bpf_cgroup_mkdir.c,bpf/cgroup/bpf_cgroup_release.c,bpf/cgroup/bpf_cgroup_rmdir.c,bpf/cgroup/bpf_cgtracker.c,bpf/cgroup/cgtracker.h,bpf/lib/bpf_cgroup.h,bpf/lib/bpf_d_path.h,bpf/lib/errmetrics.h,bpf/lib/policy_stats.h,bpf/lib/process.h,bpf/process/bpf_enforcer.c,bpf/process/bpf_enforcer.h,bpf/process/bpf_execve_bprm_commit_creds.c,bpf/process/bpf_execve_event.c,bpf/process/bpf_execve_map_update.c,bpf/process/bpf_exit.h,bpf/process/bpf_generic_kprobe.c,bpf/process/bpf_generic_lsm_core.c,bpf/process/bpf_generic_lsm_ima_bprm.c,bpf/process/bpf_generic_lsm_ima_file.c,bpf/process/bpf_generic_lsm_output.c,bpf/process/bpf_generic_tracepoint.c,bpf/process/bpf_generic_usdt.c,bpf/process/bpf_loader.c,bpf/process/bpf_map_test_p1.c,bpf/process/bpf_map_test_p2.c,bpf/process/bpf_map_test_p3.c,bpf/process/bpf_mbset.h,bpf/process/bpf_process_event.h,bpf/process/bpf_rate.h,bpf/process/data_event.h,bpf/process/generic_calls.h,bpf/process/generic_path.h,bpf/process/pfilter.h,bpf/process/policy_filter.h,bpf/process/retprobe_map.h,bpf/process/types/basic.h,bpf/process/types/skb.h,bpf/process/uprobe_offload.h,bpf/test/bpf_lseek.c,bpf/tests/pid_match_test.c,bpf/tests/prepend_name_test.c,bpf/windows/process_monitor.c","bpf/process/bpf_generic_lsm_output.c:30,bpf/process/bpf_generic_lsm_output.c:36,bpf/process/bpf_generic_usdt.c:127,bpf/process/bpf_generic_tracepoint.c:180,bpf/process/bpf_generic_tracepoint.c:184,bpf/process/bpf_map_test_p3.c:20,bpf/process/bpf_execve_bprm_commit_creds.c:64,bpf/process/bpf_map_test_p2.c:27,bpf/process/bpf_map_test_p2.c:28,bpf/process/bpf_map_test_p1.c:27,bpf/process/bpf_map_test_p1.c:28,bpf/process/bpf_enforcer.c:11,bpf/process/bpf_generic_kprobe.c:149,bpf/process/bpf_generic_kprobe.c:167,bpf/process/bpf_execve_map_update.c:66,bpf/process/bpf_generic_lsm_ima_bprm.c:24,bpf/process/bpf_loader.c:80,bpf/process/bpf_loader.c:90,bpf/process/bpf_execve_event.c:73,bpf/process/bpf_execve_event.c:192,bpf/process/bpf_execve_event.c:252,bpf/process/bpf_execve_event.c:281,bpf/process/bpf_generic_lsm_core.c:96,bpf/process/bpf_generic_lsm_ima_file.c:24,bpf/tests/prepend_name_test.c:41,bpf/tests/pid_match_test.c:35,bpf/tests/pid_match_test.c:42,bpf/test/bpf_lseek.c:61,bpf/cgroup/bpf_cgroup_release.c:35,bpf/cgroup/bpf_cgroup_release.c:45,bpf/cgroup/bpf_cgroup_mkdir.c:29,bpf/cgroup/bpf_cgroup_rmdir.c:35,bpf/cgroup/bpf_cgroup_rmdir.c:45,bpf/cgroup/bpf_cgtracker.c:62,bpf/windows/process_monitor.c:89,bpf/windows/process_monitor.c:94,bpf/windows/process_monitor.c:103,bpf/lib/errmetrics.h:39,bpf/lib/bpf_d_path.h:333,bpf/lib/bpf_cgroup.h:362,bpf/lib/bpf_cgroup.h:400,bpf/lib/policy_stats.h:46,bpf/lib/process.h:460,bpf/lib/process.h:474,bpf/lib/process.h:479,bpf/lib/process.h:490,bpf/lib/process.h:497,bpf/lib/process.h:549,bpf/lib/process.h:581,bpf/lib/process.h:630,bpf/lib/process.h:643,bpf/process/data_event.h:148,bpf/process/uprobe_offload.h:83,bpf/process/uprobe_offload.h:88,bpf/process/generic_path.h:39,bpf/process/generic_path.h:89,bpf/process/generic_path.h:124,bpf/process/generic_path.h:178,bpf/process/generic_path.h:195,bpf/process/bpf_enforcer.h:52,bpf/process/bpf_enforcer.h:66,bpf/process/bpf_enforcer.h:77,bpf/process/bpf_enforcer.h:97,bpf/process/pfilter.h:25,bpf/process/bpf_mbset.h:41,bpf/process/bpf_mbset.h:60,bpf/process/bpf_mbset.h:71,bpf/process/bpf_exit.h:45,bpf/process/generic_calls.h:28,bpf/process/generic_calls.h:34,bpf/process/generic_calls.h:217,bpf/process/generic_calls.h:247,bpf/process/generic_calls.h:444,bpf/process/generic_calls.h:448,bpf/process/generic_calls.h:506,bpf/process/generic_calls.h:510,bpf/process/generic_calls.h:559,bpf/process/generic_calls.h:718,bpf/process/generic_calls.h:722,bpf/process/generic_calls.h:827,bpf/process/generic_calls.h:854,bpf/process/generic_calls.h:878,bpf/process/generic_calls.h:926,bpf/process/generic_calls.h:1070,bpf/process/generic_calls.h:1096,bpf/process/generic_calls.h:1104,bpf/process/generic_calls.h:1132,bpf/process/generic_calls.h:1187,bpf/process/generic_calls.h:1193,bpf/process/generic_calls.h:1295,bpf/process/generic_calls.h:1307,bpf/process/generic_calls.h:1350,bpf/process/generic_calls.h:1420,bpf/process/policy_filter.h:62,bpf/process/policy_filter.h:74,bpf/process/bpf_process_event.h:303,bpf/process/bpf_rate.h:59,bpf/process/bpf_rate.h:83,bpf/process/bpf_rate.h:91,bpf/process/retprobe_map.h:37,bpf/process/retprobe_map.h:52,bpf/cgroup/bpf_cgroup_events.h:24,bpf/cgroup/cgtracker.h:18,bpf/process/types/skb.h:66,bpf/process/types/basic.h:674,bpf/process/types/basic.h:676,bpf/process/types/basic.h:678,bpf/process/types/basic.h:680,bpf/process/types/basic.h:682,bpf/process/types/basic.h:684,bpf/process/types/basic.h:687,bpf/process/types/basic.h:689,bpf/process/types/basic.h:692,bpf/process/types/basic.h:694,bpf/process/types/basic.h:696,bpf/process/types/basic.h:739,bpf/process/types/basic.h:740,bpf/process/types/basic.h:787,bpf/process/types/basic.h:800,bpf/process/types/basic.h:809,bpf/process/types/basic.h:822,bpf/process/types/basic.h:874,bpf/process/types/basic.h:881,bpf/process/types/basic.h:888,bpf/process/types/basic.h:997,bpf/process/types/basic.h:1006,bpf/process/types/basic.h:1018,bpf/process/types/basic.h:1350,bpf/process/types/basic.h:1355,bpf/process/types/basic.h:1437,bpf/process/types/basic.h:1442,bpf/process/types/basic.h:1468,bpf/process/types/basic.h:1473,bpf/process/types/basic.h:1687,bpf/process/types/basic.h:1692,bpf/process/types/basic.h:1889,bpf/process/types/basic.h:1915,bpf/process/types/basic.h:1918,bpf/process/types/basic.h:1923,bpf/process/types/basic.h:1931,bpf/process/types/basic.h:1935,bpf/process/types/basic.h:1940,bpf/process/types/basic.h:1951,bpf/process/types/basic.h:2143,bpf/process/types/basic.h:2227,bpf/process/types/basic.h:2275,bpf/process/types/basic.h:2278,bpf/process/types/basic.h:2322,bpf/process/types/basic.h:2403,bpf/process/types/basic.h:2511"
bpf_get_current_pid_tgid,37,"bpf/cgroup/bpf_cgroup_events.h,bpf/lib/bpf_task.h,bpf/process/bpf_enforcer.c,bpf/process/bpf_enforcer.h,bpf/process/bpf_execve_bprm_commit_creds.c,bpf/process/bpf_execve_event.c,bpf/process/bpf_exit.c,bpf/process/bpf_generic_kprobe.c,bpf/process/bpf_generic_lsm_core.c,bpf/process/bpf_generic_lsm_ima_bprm.c,bpf/process/bpf_generic_lsm_ima_file.c,bpf/process/bpf_generic_lsm_output.c,bpf/process/bpf_generic_usdt.c,bpf/process/data_event.h,bpf/process/generic_calls.h,bpf/process/pfilter.h,bpf/process/retprobe_map.h,bpf/process/types/basic.h,bpf/process/uprobe_offload.h,bpf/windows/process_monitor.c","bpf/process/bpf_generic_lsm_output.c:35,bpf/process/bpf_generic_usdt.c:125,bpf/process/bpf_exit.c:49,bpf/process/bpf_exit.c:69,bpf/process/bpf_execve_bprm_commit_creds.c:57,bpf/process/bpf_enforcer.c:8,bpf/process/bpf_generic_kprobe.c:146,bpf/process/bpf_generic_kprobe.c:164,bpf/process/bpf_generic_lsm_ima_bprm.c:23,bpf/process/bpf_execve_event.c:196,bpf/process/bpf_execve_event.c:295,bpf/process/bpf_generic_lsm_core.c:106,bpf/process/bpf_generic_lsm_ima_file.c:23,bpf/windows/process_monitor.c:88,bpf/lib/bpf_task.h:142,bpf/process/data_event.h:157,bpf/process/uprobe_offload.h:51,bpf/process/uprobe_offload.h:77,bpf/process/bpf_enforcer.h:75,bpf/process/bpf_enforcer.h:90,bpf/process/pfilter.h:197,bpf/process/pfilter.h:268,bpf/process/generic_calls.h:243,bpf/process/generic_calls.h:615,bpf/process/generic_calls.h:820,bpf/process/generic_calls.h:847,bpf/process/generic_calls.h:1141,bpf/process/generic_calls.h:1153,bpf/process/generic_calls.h:1199,bpf/process/retprobe_map.h:122,bpf/cgroup/bpf_cgroup_events.h:33,bpf/process/types/basic.h:2113,bpf/process/types/basic.h:2162,bpf/process/types/basic.h:2225,bpf/process/types/basic.h:2240,bpf/process/types/basic.h:2381,bpf/process/types/basic.h:2508"
bpf_tail_call,29,"bpf/process/bpf_execve_event.c,bpf/process/bpf_generic_kprobe.c,bpf/process/bpf_generic_lsm_core.c,bpf/process/bpf_generic_rawtp.c,bpf/process/bpf_generic_tracepoint.c,bpf/process/bpf_generic_uprobe.c,bpf/process/bpf_generic_usdt.c,bpf/process/generic_calls.h,bpf/process/generic_path.h","bpf/process/bpf_generic_usdt.c:85,bpf/process/bpf_generic_usdt.c:87,bpf/process/bpf_generic_tracepoint.c:259,bpf/process/bpf_generic_tracepoint.c:276,bpf/process/bpf_generic_tracepoint.c:278,bpf/process/bpf_generic_rawtp.c:97,bpf/process/bpf_generic_rawtp.c:99,bpf/process/bpf_generic_kprobe.c:107,bpf/process/bpf_generic_kprobe.c:109,bpf/process/bpf_generic_uprobe.c:84,bpf/process/bpf_generic_uprobe.c:86,bpf/process/bpf_execve_event.c:242,bpf/process/bpf_execve_event.c:257,bpf/process/bpf_generic_lsm_core.c:76,bpf/process/bpf_generic_lsm_core.c:78,bpf/process/generic_path.h:65,bpf/process/generic_path.h:107,bpf/process/generic_path.h:115,bpf/process/generic_path.h:188,bpf/process/generic_calls.h:68,bpf/process/generic_calls.h:585,bpf/process/generic_calls.h:590,bpf/process/generic_calls.h:807,bpf/process/generic_calls.h:809,bpf/process/generic_calls.h:1121,bpf/process/generic_calls.h:1272,bpf/process/generic_calls.h:1429,bpf/process/generic_calls.h:1439,bpf/process/generic_calls.h:1442"
bpf_probe_read_kernel,26,"bpf/lib/bpf_cgroup.h,bpf/lib/bpf_task.h,bpf/libbpf/bpf_tracing.h,bpf/process/generic_calls.h","bpf/lib/bpf_cgroup.h:111,bpf/lib/bpf_cgroup.h:140,bpf/lib/bpf_cgroup.h:157,bpf/lib/bpf_cgroup.h:211,bpf/lib/bpf_cgroup.h:263,bpf/lib/bpf_cgroup.h:272,bpf/lib/bpf_cgroup.h:306,bpf/lib/bpf_cgroup.h:312,bpf/lib/bpf_task.h:17,bpf/lib/bpf_task.h:36,bpf/lib/bpf_task.h:59,bpf/lib/bpf_task.h:74,bpf/lib/bpf_task.h:79,bpf/lib/bpf_task.h:82,bpf/lib/bpf_task.h:101,bpf/lib/bpf_task.h:114,bpf/lib/bpf_task.h:117,bpf/lib/bpf_task.h:156,bpf/lib/bpf_task.h:162,bpf/process/generic_calls.h:646,bpf/process/generic_calls.h:659,bpf/process/generic_calls.h:678,bpf/process/generic_calls.h:682,bpf/process/generic_calls.h:893,bpf/libbpf/bpf_tracing.h:446,bpf/libbpf/bpf_tracing.h:448"
bpf_get_current_task,23,"bpf/lib/bpf_cgroup.h,bpf/lib/bpf_d_path.h,bpf/lib/bpf_task.h,bpf/process/bpf_execve_bprm_commit_creds.c,bpf/process/bpf_execve_event.c,bpf/process/bpf_exit.h,bpf/process/bpf_generic_tracepoint.c,bpf/process/bpf_loader.c,bpf/process/bpf_process_event.h,bpf/process/generic_calls.h,bpf/process/generic_path.h,bpf/process/syscall64.h","bpf/process/bpf_generic_tracepoint.c:247,bpf/process/bpf_execve_bprm_commit_creds.c:88,bpf/process/bpf_loader.c:101,bpf/process/bpf_execve_event.c:50,bpf/process/bpf_execve_event.c:184,bpf/process/bpf_execve_event.c:290,bpf/lib/bpf_d_path.h:308,bpf/lib/bpf_cgroup.h:379,bpf/lib/bpf_task.h:25,bpf/lib/bpf_task.h:89,bpf/lib/bpf_task.h:127,bpf/lib/bpf_task.h:149,bpf/process/generic_path.h:50,bpf/process/bpf_exit.h:40,bpf/process/generic_calls.h:52,bpf/process/generic_calls.h:539,bpf/process/generic_calls.h:1143,bpf/process/generic_calls.h:1155,bpf/process/bpf_process_event.h:49,bpf/process/bpf_process_event.h:345,bpf/process/bpf_process_event.h:357,bpf/process/syscall64.h:15,bpf/process/syscall64.h:26"
bpf_map_delete_elem,19,"bpf/cgroup/bpf_cgroup_release.c,bpf/cgroup/bpf_cgroup_rmdir.c,bpf/cgroup/bpf_cgtracker.c,bpf/lib/process.h,bpf/process/bpf_enforcer.c,bpf/process/bpf_enforcer.h,bpf/process/bpf_generic_kprobe.c,bpf/process/bpf_generic_lsm_output.c,bpf/process/bpf_generic_usdt.c,bpf/process/bpf_rate.h,bpf/process/generic_calls.h,bpf/process/retprobe_map.h,bpf/process/types/basic.h,bpf/process/uprobe_offload.h","bpf/process/bpf_generic_lsm_output.c:44,bpf/process/bpf_generic_usdt.c:132,bpf/process/bpf_enforcer.c:18,bpf/process/bpf_generic_kprobe.c:154,bpf/process/bpf_generic_kprobe.c:171,bpf/cgroup/bpf_cgroup_release.c:43,bpf/cgroup/bpf_cgroup_rmdir.c:43,bpf/cgroup/bpf_cgtracker.c:78,bpf/lib/process.h:502,bpf/lib/process.h:533,bpf/process/uprobe_offload.h:86,bpf/process/bpf_enforcer.h:84,bpf/process/generic_calls.h:1223,bpf/process/bpf_rate.h:152,bpf/process/retprobe_map.h:42,bpf/process/retprobe_map.h:55,bpf/process/types/basic.h:2187,bpf/process/types/basic.h:2380,bpf/process/types/basic.h:2515"
bpf_map_update_elem,18,"bpf/lib/errmetrics.h,bpf/lib/process.h,bpf/process/bpf_generic_lsm_core.c,bpf/process/bpf_generic_lsm_ima_bprm.c,bpf/process/bpf_generic_lsm_ima_file.c,bpf/process/bpf_rate.h,bpf/process/generic_calls.h,bpf/process/types/basic.h,bpf/process/uprobe_offload.h,bpf/windows/process_monitor.c","bpf/process/bpf_generic_lsm_ima_bprm.c:32,bpf/process/bpf_generic_lsm_core.c:110,bpf/process/bpf_generic_lsm_ima_file.c:32,bpf/windows/process_monitor.c:100,bpf/windows/process_monitor.c:143,bpf/windows/process_monitor.c:150,bpf/lib/errmetrics.h:45,bpf/lib/process.h:484,bpf/lib/process.h:515,bpf/process/uprobe_offload.h:62,bpf/process/generic_calls.h:831,bpf/process/generic_calls.h:858,bpf/process/generic_calls.h:1220,bpf/process/bpf_rate.h:98,bpf/process/types/basic.h:2185,bpf/process/types/basic.h:2242,bpf/process/types/basic.h:2331,bpf/process/types/basic.h:2390"
bpf_probe_read_str,13,"bpf/cgroup/bpf_cgroup_events.h,bpf/lib/bpf_cgroup.h,bpf/libbpf/bpf_core_read.h,bpf/process/bpf_execve_event.c,bpf/process/bpf_loader.c,bpf/process/bpf_process_event.h,bpf/process/data_event.h,bpf/process/types/basic.h","bpf/process/bpf_loader.c:124,bpf/process/bpf_execve_event.c:78,bpf/process/bpf_execve_event.c:130,bpf/process/bpf_execve_event.c:365,bpf/lib/bpf_cgroup.h:434,bpf/process/data_event.h:96,bpf/process/bpf_process_event.h:277,bpf/cgroup/bpf_cgroup_events.h:52,bpf/libbpf/bpf_core_read.h:166,bpf/process/types/basic.h:428,bpf/process/types/basic.h:549,bpf/process/types/basic.h:567,bpf/process/types/basic.h:1197"
bpf_ringbuf_output,4,"bpf/lib/process.h,bpf/windows/process_monitor.c","bpf/windows/process_monitor.c:151,bpf/windows/process_monitor.c:164,bpf/lib/process.h:633,bpf/lib/process.h:649"
