name,count,files,locations
bpf_strcmp,11,"contrib/tester-progs/sigkill-tester.c,contrib/tester-progs/uprobe-resolve.c,contrib/tester-progs/usdt-resolve.c","contrib/tester-progs/uprobe-resolve.c:51,contrib/tester-progs/uprobe-resolve.c:53,contrib/tester-progs/uprobe-resolve.c:55,contrib/tester-progs/uprobe-resolve.c:57,contrib/tester-progs/uprobe-resolve.c:59,contrib/tester-progs/usdt-resolve.c:46,contrib/tester-progs/usdt-resolve.c:48,contrib/tester-progs/usdt-resolve.c:50,contrib/tester-progs/usdt-resolve.c:52,contrib/tester-progs/usdt-resolve.c:54,contrib/tester-progs/sigkill-tester.c:67"
bpf_iter_num_next,4,"bpf/include/vmlinux_generated_arm64.h,bpf/include/vmlinux_generated_x86.h,bpf/lib/bpf_helpers.h","bpf/lib/bpf_helpers.h:191,bpf/lib/bpf_helpers.h:214,bpf/include/vmlinux_generated_arm64.h:169189,bpf/include/vmlinux_generated_x86.h:157437"
bpf_iter_num_new,4,"bpf/include/vmlinux_generated_arm64.h,bpf/include/vmlinux_generated_x86.h,bpf/lib/bpf_helpers.h","bpf/lib/bpf_helpers.h:185,bpf/lib/bpf_helpers.h:210,bpf/include/vmlinux_generated_arm64.h:169188,bpf/include/vmlinux_generated_x86.h:157436"
bpf_dynptr_slice_rdwr,2,"bpf/include/vmlinux_generated_arm64.h,bpf/include/vmlinux_generated_x86.h","bpf/include/vmlinux_generated_arm64.h:169172,bpf/include/vmlinux_generated_x86.h:157420"
bpf_get_fsverity_digest,2,"bpf/include/vmlinux_generated_arm64.h,bpf/include/vmlinux_generated_x86.h","bpf/include/vmlinux_generated_arm64.h:169176,bpf/include/vmlinux_generated_x86.h:157424"
bpf_key_put,2,"bpf/include/vmlinux_generated_arm64.h,bpf/include/vmlinux_generated_x86.h","bpf/include/vmlinux_generated_arm64.h:169199,bpf/include/vmlinux_generated_x86.h:157447"
bpf_cpumask_first,2,"bpf/include/vmlinux_generated_arm64.h,bpf/include/vmlinux_generated_x86.h","bpf/include/vmlinux_generated_arm64.h:169144,bpf/include/vmlinux_generated_x86.h:157392"
bpf_iter_task_vma_next,2,"bpf/include/vmlinux_generated_arm64.h,bpf/include/vmlinux_generated_x86.h","bpf/include/vmlinux_generated_arm64.h:169198,bpf/include/vmlinux_generated_x86.h:157446"
cubictcp_recalc_ssthresh,2,"bpf/include/vmlinux_generated_arm64.h,bpf/include/vmlinux_generated_x86.h","bpf/include/vmlinux_generated_arm64.h:169254,bpf/include/vmlinux_generated_x86.h:157502"
scx_bpf_cpuperf_cap,2,"bpf/include/vmlinux_generated_arm64.h,bpf/include/vmlinux_generated_x86.h","bpf/include/vmlinux_generated_arm64.h:169265,bpf/include/vmlinux_generated_x86.h:157513"
